key,value
hemoglobin,Hemoglobins
pelvic,pelvic
high,high
spironolactone,Spironolactone
stroke,Stroke
performed,performed
atorvastatin,Atorvastatin Calcium
counseling,Counseling
curcumin,Curcumin
sprains,Sprains and Strains
influenced,influenced
recovery,recovery
provide,provide
endoscopy,Endoscopy
serum,Serum
strikingly,strikingly
prognosis,Prognosis
lesions,lesions
survivors,Survivors
optimal,optimal
axis,axis
postmatch,postmatch
maternal,maternal
may,may
advice,advice
hazard,hazard
modest,modest
fatigue,Fatigue
blood,blood
improving,improving
ties,ties
choice,choice
data,data
response,response
types,types
baseline,baseline
short,short
effective,effective
heptavalent,heptavalent
inform,inform
used,used
dhf,dhf
six,six
glycated,glycated
toward,toward
vary,vary
definitive,definitive
years,years
including,including
surveillance,epidemiology
cardiovascular,cardiovascular
superior,superior
sinus,sinus
group,group
antipsychotic,antipsychotic
propensity,propensity
susceptible,susceptible
suboptimal,suboptimal
better,better
pharmacotherapy,pharmacotherapy
acupuncture,Acupuncture
speech,Speech
might,might
syndromes,Syndrome
versus,versus
physicians,Physicians
non,non
within,within
greater,greater
rising,rising
safe,safe
perceived,perceived
number,number
warranted,warranted
therapy,therapy
effects,effects
compound,compound
impaired,impaired
silver,Silver
association,Association
matched,matched
term,term
troponin,Troponin
pregnant,pregnant
settings,settings
good,good
found,found
interfering,interfering
side,side
lasting,lasting
profile,profile
significantly,significantly
weight,weight
reduce,reduce
idea,idea
dyslipidemic,dyslipidemic
frequency,epidemiology
famciclovir,famciclovir
year,year
statin,statin
beyond,beyond
sexual,sexual
myocardial,myocardial
shown,shown
medications,medications
','
factors,factors
furthermore,furthermore
since,since
pravastatin,Pravastatin
biometrical,biometrical
research,Research
behaviours,behaviours
safety,Safety
receiving,receiving
rh,rehabilitation
red,red
common,common
confidence,confidence
possibility,possibility
standard,standard
poses,poses
clarify,clarify
reason,reason
formation,formation
airway,airway
inadequately,inadequately
care,care
longitudinal,longitudinal
training,education
benefits,benefits
language,Language
labialis,labialis
could,could
silymarin,Silymarin
days,days
disturbed,disturbed
smokers,smokers
lactation,Lactation
undergo,undergo
chronic,chronic
frequent,frequent
first,first
blind,blind
prospective,prospective
major,major
features,features
surviving,surviving
primary,primary
one,one
randomized,randomized
quality,quality
size,size
little,little
introduction,introduction
prostate,Prostate
approximately,approximately
needed,needed
rates,rates
hirsutism,Hirsutism
ankle,Ankle
peripheral,peripheral
recovered,recovered
gps,gps
option,option
enhancing,enhancing
fasting,Fasting
tool,tool
needle,Needles
prediction,prediction
neonate,"Infant, Newborn"
population,Population
observed,observed
hyperplasia,Hyperplasia
ureteral,ureteral
third,third
showed,showed
double,double
likely,likely
hyperlipidemia,Hyperlipidemias
patients,Patients
determined,determined
guilt,Guilt
historical,historical
outcome,outcome
treated,treated
addressing,addressing
remained,remained
conjugate,conjugate
need,need
seem,seem
aged,Aged
apparently,apparently
surgery,surgery
relatively,relatively
acid,acid
date,date
self,Ego
onset,onset
majority,majority
chest,Thorax
without,without
objective,objective
effectiveness,effectiveness
play,Play and Playthings
experienced,experienced
multiple,multiple
ordinated,ordinated
inference,inference
normal,normal
incidence,incidence
significant,significant
preliminary,preliminary
assessed,assessed
phonological,phonological
prostatic,prostatic
potency,potency
especially,especially
considered,considered
medical,medical
atypical,atypical
infections,Infection
disease,Disease
misdiagnosis,Diagnostic Errors
stones,stones
particularly,particularly
show,show
syntax,syntax
DIGITc,DIGITc
relation,relation
inconsistent,inconsistent
ulcer,Ulcer
aggressive,aggressive
occupation,Occupations
promote,promote
ratio,ratio
reactive,reactive
difficulties,difficulties
screening,screening
molecules,molecules
rice,Oryza
local,local
rosuvastatin,Rosuvastatin Calcium
mortality,mortality
niddm,"Diabetes Mellitus, Type 2"
dependent,dependent
displayed,displayed
overall,Overall
breast,Breast
aaa,aaa
ldl,ldl
aes,aes
increasing,increasing
introduced,introduced
h,h
corticotropic,corticotropic
investigate,investigate
spirometric,spirometric
predicted,predicted
activity,activity
injections,Injections
achieved,achieved
sensitivity,Sensitivity and Specificity
testing,testing
aphthous,aphthous
myalgia,Myalgia
relative,relative
demented,demented
result,result
enhanced,enhanced
mediators,mediators
fail,fail
nud,nud
techniques,methods
chronically,chronically
comorbidity,Comorbidity
subsequent,subsequent
review,Review
currently,currently
pressures,Pressure
score,score
occupational,occupational
numerous,numerous
available,available
vasomotor,vasomotor
comparable,comparable
targeted,targeted
screen,screen
supports,supports
death,Death
key,key
rapidly,rapidly
multivariable,multivariable
cervical,cervical
c,c
referral,Referral and Consultation
prescription,Prescriptions
reported,reported
epidemics,epidemics
cox,cox
taking,taking
conclusions,conclusions
according,according
drug,drug
sensitive,sensitive
improves,improves
context,context
placebo,placebo
physiologic,physiologic
suggest,suggest
inflammatory,inflammatory
co,complications
provocation,provocation
cancer,Neoplasms
simple,simple
antioxidant,antioxidant
doxycycline,Doxycycline
maintained,maintained
medication,medication
anti,anti
decreases,decreases
pregnancy,Pregnancy
ae,adverse effects
pulmonary,pulmonary
expensive,expensive
ct,contraindications
symptoms,diagnosis
recur,recur
instrument,instrument
mounting,mounting
exert,exert
three,three
shortening,shortening
basis,basis
reduction,reduction
much,much
combined,combined
judging,judging
expected,expected
glucose,Glucose
location,location
flavonoid,flavonoid
life,Life
controlled,controlled
hospitalization,Hospitalization
efficacy,efficacy
drugs,Pharmaceutical Preparations
designed,designed
bmi,bmi
child,Child
improved,improved
careful,careful
present,present
hypogonadism,Hypogonadism
consultant,Consultants
ejection,ejection
tolerate,tolerate
evaluated,evaluated
n,n
sometimes,sometimes
pace,pace
teachers,teachers
balance,balance
pneumococcal,pneumococcal
vs,vs
commonly,commonly
protein,protein
antidepressants,Antidepressive Agents
cohort,cohort
different,different
develop,develop
severity,severity
migraine,Migraine Disorders
media,media
administration,Organization and Administration
elevated,elevated
clearly,clearly
adverse,adverse
potentially,potentially
arguments,arguments
infarction,Infarction
several,several
confronting,confronting
events,events
day,day
higher,higher
independent,independent
investigated,investigated
equalizing,equalizing
pylori,pylori
assessment,assessment
effect,effect
persons,Persons
levels,levels
minocycline,Minocycline
tolac,tolac
onychomycosis,Onychomycosis
diabetes,diabetes
prescribed,prescribed
weakly,weakly
glibenclamide,Glyburide
statins,Hydroxymethylglutaryl-CoA Reductase Inhibitors
well,well
analysis,analysis
severe,severe
contact,contact
relief,relief
mother,Mothers
breastfeeding,Breast Feeding
protocol,protocol
less,less
tolerability,tolerability
half,half
dose,dose
assigned,assigned
sources,sources
identify,identify
human,Humans
regardless,regardless
yet,yet
previous,previous
adjunct,adjunct
superficial,superficial
rapid,rapid
unable,unable
also,also
admission,admission
improvement,improvement
source,source
subjects,subjects
treatment,treatment
rcts,rcts
circumcision,circumcision
plasma,Plasma
aspects,aspects
increased,increased
loss,loss
otitis,Otitis
evaluate,evaluate
survival,survival
early,early
inhibition,Inhibition (Psychology)
five,five
using,using
highly,highly
advanced,advanced
occurring,occurring
acute,acute
success,success
sizes,sizes
future,Forecasting
reasons,reasons
continue,continue
index,index
either,either
reduced,reduced
therapeutic,Therapeutics
methods,methods
postprandially,postprandially
benign,benign
prophylactically,prophylactically
pain,Pain
adjuncts,adjuncts
users,users
measurable,measurable
scale,scale
broad,broad
tube,tube
conservative,conservative
contrast,contrast
inflammation,Inflammation
nitrate,nitrate
moderate,moderate
demonstrated,demonstrated
presented,presented
measures,Weights and Measures
patient,Patients
pose,pose
fed,fed
pressure,Pressure
although,although
instability,instability
herpes,herpes
vaccine,vaccine
comparison,comparison
DIGIT,DIGIT
lifestyle,Life Style
testosterone,Testosterone
ace,ace
exacerbation,exacerbation
based,based
sprain,Sprains and Strains
range,range
mixed,mixed
insufficient,insufficient
tongue,Tongue
italian,italian
slightly,slightly
followed,followed
previously,previously
skilled,skilled
stratification,stratification
due,due
assess,assess
ultrasound,diagnostic imaging
lung,Lung
determine,determine
reducing,reducing
intervention,intervention
elastic,elastic
sodium,Sodium
support,support
initial,initial
long,long
clinical,clinical
low,low
fraction,fraction
resulted,resulted
naturally,naturally
function,physiology
head,Head
complete,complete
subjective,subjective
posterior,posterior
related,related
bDIGIT,bDIGIT
sustained,sustained
injection,Injections
highest,highest
hf,hf
regimen,regimen
whether,whether
type,type
receptive,receptive
complications,complications
infants,Infant
demonstrate,demonstrate
>,>
similar,similar
average,average
strongly,strongly
tricyclic,tricyclic
associated,associated
adults,Adult
interventions,interventions
cortivazol,cortivazol
tissues,Tissues
evidence,evidence
consumed,consumed
single,single
cure,cure
hypertension,Hypertension
nns,nns
intra,intra
physical,physical
compared,compared
eventual,eventual
amounts,amounts
trials,trials
adjuvant,adjuvant
role,Role
tie,tie
simvastatin,Simvastatin
conclusion,conclusion
poor,poor
elements,Elements
nsaid,"Anti-Inflammatory Agents, Non-Steroidal"
gravida,gravida
vocabulary,Vocabulary
separate,separate
attributed,attributed
diet,Diet
valproate,Valproic Acid
important,important
suppression,suppression
included,included
discharge,discharge
exposure,exposure
cpk,cpk
insertions,insertions
faster,faster
age,age
interval,interval
mass,mass
diagnosis,diagnosis
time,Time
paced,paced
