id,sen,lab
283,Early administration of oral steroid medication in patients with acute sciatica had no significant effect on most parameters studied.,1
285,"The impact of oral steroids on other outcomes is suggested by this study, but its small sample size limited its statistical power.",1
286,"However, because of the small sample size and the short term of this study, further long-term studies are needed to determine the efficacy of p.o.",1
287,"During the procedure, Mogen circumcision is associated with less pain and discomfort, takes less time, and is preferred by trainees when compared with the PlastiBell.",2
288,"Methacholine responsiveness and peak flow variability assessed at age 11, together with markers of atopy (IgE and skin test reactivity to allergens) identify three different wheezing phenotypes in childhood: ""transient early wheezing"" limited to the first three years of life and unrelated to increased airway lability; ""non-atopic wheezing"" of the toddler and early school years associated with positive peak flow variability but not with methacholine hyperresponsiveness; and ""IgE-associated wheeze/asthma"" associated with persistent wheezing at any age and with methacholine hyperresponsiveness, peak flow variability, and markers of atopy.",1
289,It is not known whether the favorable results of Pennsaid can be extrapolated to other topical NSAID preparations.,1
291,Two patients reported a partial and 9 patients a complete relieve of motor restlessness while receiving Pergolide.,2
294,"Based on the significant rate of side effects with opioids and the lack of convincing superiority over NSAIDs, opioids are not recommended as a treatment for chronic LBP.",0
295,"Attention to subgroups of patients will likely help guide treatment, and will likely help increase the clinical impact of future research.",1
296,CLINICAL RECOMMENDATIONS: Recommendation 1: NSAIDs should be considered as a treatment of chronic LBP (Strength: Strong).,2
298,Recommendation 2: Opioids may be considered in the treatment of chronic LBP but should be avoided if possible (Strength: Weak).,0
299,"There is evidence demonstrating favorable effectiveness compared to placebo, similar effectiveness compared to NSAIDs, and with significant side effects including decreasing effectiveness related to habituation when used long-term.",2
302,"Based on the hypothesis that chronic LBP is a symptom reflective of a heterogeneous group of disorders, categorization of certain patient specific subgroups may be helpful in guiding future treatment decision making.",1
303,It is likely that inclusion of subgroup factors in future RCTs will provide information needed to improve the strength and specificity of future clinical recommendations.,2
304,An unfavorable score predicting a high rate of complications and more failed trials of labor may help in counseling patients considering trial of labor.,2
305,"Among MSM 26 years of age and older with and without history of anal condyloma, qHPV reduces the risk of anal condyloma development.",2
306,"PMVA was associated with an increased risk of stroke, particularly among women without other medical conditions associated with stroke.",0
307,"Behavioral risk factors, specifically smoking and oral contraceptive use, markedly increased the risk of PMVA, as did recent onset of PMVA.",0
309,Evidence for routine prescription of an ACE inhibitor in patients with diastolic HF (DHF) is inconsistent.,1
310,The present prospective study included patients with normal or slightly impaired ejection fraction (> or =50%) surviving a first hospitalization for HF.,1
311,We assessed the long-term prognosis of these patients according to prescription of an ACE inhibitor at discharge.,1
312,"ACE inhibitor therapy prescribed at discharge in 46% (n = 165) of the 358 included patients was associated with a 30% relative decrease in the risk of 5-year mortality (hazard ratio 0.70, 95% confidence interval 0.53 to 0.93, p = 0.013).",1
313,"On multivariable Cox analysis, the relation between ACE inhibitor prescription and mortality remained significant (hazard ratio 0.73, 95% confidence interval 0.54 to 0.99, p = 0.045).",1
314,"Using propensity score analysis, 120 patients receiving an ACE inhibitor were matched with 120 patients not receiving this medication.",1
315,"In the postmatch group, prescription of ACE inhibitor was associated with a significant decrease in the risk of 5-year mortality (hazard ratio 0.61, 95% confidence interval 0.43 to 0.87, p = 0.006).",2
316,Five-year relative survival (observed/expected survival) of the ACE inhibitor group was better than that of the no-ACE inhibitor group (65% vs 57%).,2
317,"In conclusion, we demonstrate that in this cohort of patients with DHF, prescription of ACE inhibitor was associated with a significant decrease in long-term mortality.",2
318,Elevated troponin levels identify patients with acute pulmonary embolism at high risk of short-term death and adverse outcome events.,0
320,"Early surgery achieved more rapid relief of sciatica than conservative care, but outcomes were similar by one year and these did not change during the second year.",2
321,"The risk of maternal B19 infection in pregnancy could not be predicted by a gravida's occupation, but it was significantly higher when the source of exposure was her own child.",0
323,"The short-term effects, if any, of most maternal medications on breast-fed infants are mild and pose little risk to the infants.",2
324,"We also found this expensive therapy to be much less effective than previously believed, particularly for achieving complete cure of all 10 toenails.",2
326,Early frenotomy did not result in an objective improvement in breastfeeding but was associated with improved self-efficacy.,2
327,"This randomized, controlled trial has clearly shown that tongue-ties can affect feeding and that division is safe, successful and improved feeding for mother and baby significantly better than the intensive skilled support of a lactation consultant.",2
328,Red yeast rice and therapeutic lifestyle change decrease LDL cholesterol level without increasing CPK or pain levels and may be a treatment option for dyslipidemic patients who cannot tolerate statin therapy.,2
329,The GPs' counseling for physical activity using the PACE protocol influenced mediators and biometrical outcomes in an Italian primary care context.,1
330,Reduction of posterior pelvic pain by a non-elastic pelvic support was experienced by 82% of the women with posterior pelvic pain.,2
331,"After heptavalent pneumococcal conjugate vaccine introduction, children were less likely to develop frequent otitis media or have pressure-equalizing tube insertions.",2
332,The rate of spontaneous passage of ureteral stones does vary with stone size and location as determined by CT.,1
333,"Evidence is insufficient to show the effectiveness of relaxation techniques as treatment for menopausal vasomotor symptoms, or to determine whether this treatment is more effective than no treatment, placebo, acupuncture, superficial needle insertion or paced respiration.",1
334,"Furthermore, in the majority of these patients, the elevated blood pressures can be controlled or significantly improved.",2
335,"These data are strikingly similar to those from our previous study of RH, in which a suboptimal medication regimen was the most common reason for resistance.",1
337,Infants with a significant tongue-tie that is interfering with breast-feeding have shown an improvement with breast-feeding following frenotomy.,2
338,The risk of infection is high for susceptible pregnant women during epidemics and associated with the level of contact with children.,0
339,"Nursery school teachers have the highest occupational risk, but most infections seem to be the result of exposure to the woman's own children.",1
340,"H pylori infection, NSAID use, and advanced age are independent risk factors for subsequent ulcer formation.",0
341,Follow up endoscopy is strongly indicated for an NUD patient with multiple risk factors for ulcer formation when symptoms recur.,2
342,Atypical antipsychotic drugs may be associated with a small increased risk for death compared with placebo.,0
343,"This risk should be considered within the context of medical need for the drugs, efficacy evidence, medical comorbidity, and the efficacy and safety of alternatives.",1
344,"Compared with pravastatin, treatment with higher potency statins, especially atorvastatin and simvastatin, might be associated with an increased risk of new onset diabetes.",2
345,"In a pooled analysis of data from 5 statin trials, intensive-dose statin therapy was associated with an increased risk of new-onset diabetes compared with moderate-dose statin therapy.",0
346,"In this trial of apparently healthy persons without hyperlipidemia but with elevated high-sensitivity C-reactive protein levels, rosuvastatin significantly reduced the incidence of major cardiovascular events.",2
347,The efficacy of SAMe in treating depressive syndromes and disorders is superior with that of placebo and comparable to that of standard tricyclic antidepressants.,2
348,"Since SAMe is a naturally occurring compound with relatively few side-effects, it is a potentially important treatment for depression.",2
349,Further study of SAMe as independent and adjuvant therapy for major depression in adults is indicated.,1
350,Curcumin has been demonstrated to be safe in six human trials and has demonstrated anti-inflammatory activity.,2
351,It may exert its anti-inflammatory activity by inhibition of a number of different molecules that play a role in inflammation.,1
352,"Although more head-to-head clinical trials are needed for a direct comparison of AE frequency, these preliminary data from separate reports suggest the possibility that AEs may be less likely with doxycycline than minocycline.",1
353,"Counseling and pharmacotherapy can promote modest sustained weight loss, improving clinical outcomes.",2
354,Pharmacotherapy appears safe in the short term; long-term safety has not been as strongly established.,2
355,"In selected patients, surgery promotes large amounts of weight loss with rare but sometimes severe complications.",0
356,There is evidence of a significant reduction in mortality from AAA in men aged 65 to 79 years who undergo ultrasound screening.,2
357,These findings need careful consideration in judging whether a co-ordinated population-based screening programme should be introduced.,1
358,"Several aspects of screening have been inadequately studied to determine optimal methods, including which instrument to use, the age at which to screen, and which interval is most useful.",1
359,"Trials of interventions demonstrate improvement in some outcome measures, but conclusions and generalizability are limited.",2
360,"Data are not available addressing other key issues including the effectiveness of screening in primary care settings, role of enhanced surveillance by primary care physicians before referral for diagnostic evaluation, non-speech and language and long-term benefits of interventions, and adverse effects of screening and interventions.",1
361,"The use of a sensitive assay for troponin I improves early diagnosis of acute myocardial infarction and risk stratification, regardless of the time of chest-pain onset.",2
364,The results of our study showed that one application of silver nitrate can decrease the severity of pain in aphthous ulceration without significantly shortening or prolonging healing time.,2
365,This study was designed to evaluate the effects of the antioxidant flavonoid silymarin in improving long-term and postprandial glycemic and weight control in type 2 diabetic patients treated with glibenclamide.,1
366,"Using a randomized, double-blind, placebo-controlled design, 59 type 2 diabetic patients, previously maintained on 10 mg/day glibenclamide and diet control, with poor glycemic control, were randomized into three groups: the first two groups were treated with either 200 mg/day silymarin or placebo as adjuncts to glibenclamide, and the third group was maintained on glibenclamide alone for 120 days.",1
367,"Fasting and 4-hour postprandial plasma glucose, glycated hemoglobin (HbA(1c)), and body mass index (BMI) were evaluated at baseline and after 120 days.",1
369,"In conclusion, adjunct use of silymarin with glibenclamide improves the glycemic control targeted by glibenclamide, during both fasting and postprandially, an effect that may be related to increased insulin sensitivity in peripheral tissues.",2
370,Prediction of TOLAC success at the time of admission is highly dependent on the initial cervical examination.,1
371,Single-dose famciclovir reduced time to healing of herpes labialis lesions by approximately 2 days compared with placebo.,2
372,"Simple smoking cessation advice combined with spirometric testing resulted in good 1 year cessation rates, especially in subjects with airway obstruction.",2
373,Half of the patients presented disease control after treatment lasting an average of approximately one year.,2
374,Low dose sodium valproate may be effective reducing a broad range of types of disturbed behaviours in aggressive demented patients.,2
377,The review shows that overall there is a positive effect of speech and language therapy interventions for children with expressive phonological and expressive vocabulary difficulties.,2
378,"The evidence for expressive syntax difficulties is more mixed, and there is a need for further research to investigate intervention for receptive language difficulties.",1
379,"There is a large degree of heterogeneity in the results, and the sources of this need to be investigated.",1
380,We found no arguments in favour of confronting smokers with their lung function as a tool for enhancing smoking cessation.,1
381,The effects of multiple treatment options on the subjective and objective measures of hirsutism have displayed varying results.,1
382,The outcomes reported to date have shown a positive trend toward using spironolactone in women with PCOS and hirsutism.,2
384,There is a need for further research to be performed with large sample sizes and well-designed RCTs to assess clinical outcomes.,1
385,"Studies are needed to clarify the risk of stroke among users who may be susceptible on the basis of age, smoking, obesity, hypertension, or migraine history.",1
386,"The 1-year outcomes were similar for patients assigned to early surgery and those assigned to conservative treatment with eventual surgery if needed, but the rates of pain relief and of perceived recovery were faster for those assigned to early surgery.",2
387,"Survivors of cancer who chronically consumed opioids experienced symptomatic hypogonadism with significantly higher levels of depression, fatigue, and sexual dysfunction.",0
388,"With the increasing use of opioids among patients with cancer, further research in improving quality-of-life outcomes is warranted.",1
390,"Balance training can be used prophylactically or after an acute ankle sprain in an effort to reduce future ankle sprains, but current evidence is insufficient to assess this effect in patients with chronic ankle instability.",2
391,Further prospective studies on patients taking long-term acid suppression are needed to establish whether this association is causal.,1
392,The administration of three local cortivazol injections was followed by suppression of the corticotropic axis that persisted beyond 21 days after epidural injection and recovered more rapidly after intra-articular injection.,2
393,"With excellent cure rates and a good tolerability profile, terbinafine should continue to be a drug of choice for the treatment of toenail onychomycosis in the rising number of NIDDM patients receiving multiple medication.",2
394,Currently available evidence weakly supports the inference that testosterone use in men is not associated with important cardiovascular effects.,1
395,Patients and clinicians need large randomized trials of men at risk for cardiovascular disease to better inform the safety of long-term testosterone use.,1
396,"Although there are as yet no large-scale, long-term controlled studies of T therapy to provide a definitive assessment of risk, numerous smaller clinical trials as well as population-based longitudinal studies consistently fail to support the historical idea that T therapy poses an increased risk of prostate cancer or exacerbation of symptoms due to benign prostatic hyperplasia.",0
398,"In contrast, there is mounting evidence that low serum T is associated with greater prostate cancer risk, and more worrisome features of prostate cancer.",0
424,"In those patients with migraine, the most common reasons for misdiagnosis include headache triggers, pain location, and associated features (""guilt by provocation, location, and association"") commonly attributed to sinus headache.",1
428,NNS significantly decreases some elements of measurable physiologic pain response of the neonate during circumcision.,2
429,The present trial evaluated the tolerability of red yeast rice versus pravastatin in patients unable to tolerate other statins because of myalgia.,1
500,"XFC could elevate clinical efficacy of AS patients and enhance their autophagy, which might be achieved by acting on PI3K/Akt/mTOR signal, affecting autophagy gene and autophagy protein expression, taking part in the regulation of proliferation and differentiation of lymphocyte B, and strengthen humoral immunity.",2
501,"This therapy provides a valuable tool to accomplish a rapid decrease in vertigo spells in subjects with Meniere's disease, and it is considered an alternative to chemical or surgical labyrinthectomy.",2
502,"These elevations came with no adverse effect relative to resting heart rate, but a slight increase in blood pressure values.",1
504,"Instead, we found weak positive associations between vitamin D levels and fasting- and 2hour plasma glucose levels, HbA1c and impaired fasting glycaemia, and a negative association with beta-cell function, underlining the need for determination of the causal relationship.",1
507,"Future research should examine the separate impact of goals and planning, as well as examining mediators of behavior maintenance in physical activity interventions targeting cancer survivors.",1
508,"Because this is an observational study, comparison of techniques such as addition of fentanyl, EVE, needs a compatative study.",1
510,High-flow conditioned oxygen therapy may offer advantages for these patients.,2
511,"The study adds further evidence for the dominant cardiac sympathetic modulations on patients with preeclampsia, probably secondary to parasympathetic withdrawal in this group.",1
512,Standard practice in pupillary monitoring yields inaccurate data.,0
513,The 2 interventions were acceptable to participants and equal with regard to perceived credibility and acceptability.,1
516,We concluded that high-dose (4 g) MO leaf powder capsules significantly increased insulin secretion in healthy subjects.,2
517,Fewer patients responded to GDHT than anticipated.,1
518,The acupuncture at the acupoints selected from the affected meridians based on the location differentiation and the heavy moxibustion at painful points are safe and effective in the treatment of fibromyalgia syndrome and present the better persistent effect as compared with the combined medication of tramadol sustained release tablets and amitriptyline.,2
519,"Taken on a daily basis, thermogenic dietary supplementation may increase overall energy expenditure, potentially leading to reductions in fat mass over time.",2
521,"At the same anaesthetic depth, the CIIA method outperforms the TIVA method in suppressing the stress response and obtaining smooth awakening after laparoscopic radical gastrectomy for patients with gastric cancer; therefore, the CIIA method has a better anaesthetic effect.",2
522,"The moxa salt packets combined with tropisetron hydrochloride can effectively reduce the cisplatin chemotherapy-induced nausea and vomiting as well as the occurrence rate of delayed-type vomiting, and improve the constipation, which is superior to single use of tropisetron hydrochloride.",2
523,And it has similar immunotherapy efficacy between monosensitized and polysensitized children.,1
525,Application of PRP showed a positive effect on AGA and could be regarded as an adjuvant therapy for AGA.,2
527,"The key lessons learned from this study is that continuous rucaparib dosing is required for optimal response, the recommended phase 2 dose (RP2D) for continuous oral scheduling has not been established and requires further exploration and, thirdly, the use of a PD biomarker to evaluate dose-response has its limitations.",1
528,"Î²-Lactam-allergic patients who need ertapenem therapy should undergo skin tests and, if negative, a graded challenge to assess tolerability.",1
529,"CAM use was significantly associated with gender, age, career and duration of diabetes.",1
530,Incorporating paravertebral blocks carries considerable potential for improving pathways for breast cancer patients undergoing breast reconstruction--with minimal procedure-related morbidity.,2
533,"The results obtained indicate that the adjuvant treatment of psychosocial day care programme has a positive effect on treatment outcomes: on the increase of the patients' quality of life, and, to some extent, on the decrease of symptom intensity in positive symptoms in schizophrenia spectrum.",2
534,"The lenalidomide combined with chemotherapy can significantly decrease the expression level of VEGF and bFGF, and enhance the remission rate of patients with AML.",2
536,"Together, these findings suggest that personalised decision support systems could be an important development in shared decision-making and patient-centered care.",1
537,The pemetrexed-carboplatin combination was effective and well-tolerated in patients with EGFR-wild-type non-squamous NSCLC (UMIN-CTR number: UMIN000003393).,2
539,"Dynamic multiple pelvic angiography has significant advantage in the diagnosis of pelvic peritoneal hernia, and can provide a more objective basis for the diagnosis of functional defecation disorder.",1
541,Tramadol appears to be consistently well tolerated following i.v.,2
542,Combined aerobic and stretching exercises brought about significant therapeutic effects on selected cardiopulmonary parameters in female BC survivors.,2
545,Further study is needed to confirm our pilot findings.,1
549,"Among postmenopausal women with osteoporosis, the use of subcutaneous abaloparatide, compared with placebo, reduced the risk of new vertebral and nonvertebral fractures over 18 months.",2
550,Overnight closed-loop therapy resulted in better glucose control than sensor-augmented pump therapy in pregnant women with type 1 diabetes.,2
551,B- TURBT is a reasonable treatment modality in patients with NMIBC.,1
553,"When renal function is impaired and if basal kalemia is >4.35 mmol/L, then clinicians should properly balance risk and benefit of eplerenone use and offer dietary advice.",1
555,SMT C1100 was well tolerated in pediatric DMD patients.,2
556,Further research is necessary to evaluate these preliminary findings in a larger study population with longer follow-up to determine whether the observed effects will result in improved clinical outcomes.,1
557,"Among patients with advanced melanoma, pembrolizumab administration was associated with an overall objective response rate of 33%, 12-month progression-free survival rate of 35%, and median overall survival of 23 months; grade 3 or 4 treatment-related AEs occurred in 14%.",1
558,"Penetration acupuncture at the acupoints of GV and bladder meridian on head can remarkablely improve the cognitive function of the patients with mild cognitive disorder after stroke,and have some efficacy of relieving the bad mood such as depression.",2
560,"Hark improved the quality of transfer of information about simulated patients and was rated by users as more effective and efficient, and less distracting than pagers.",2
561,"Although EC is widely used as a method of quitting smoking, it has negative effects on the sinonasal symptoms and MCC.",0
563,The results indicate that RKB evening meal has an anti-diabetic potential and that the increased release of satiety hormones and improvements of appetite sensation could be beneficial in preventing obesity.,2
565,Ultrasound guided lower limb peripheral nerve blocks are an efficient technique of regional anesthesia in children.,2
566,The results show that platelet rich plasma provided better results from the perspective of pain control and effect duration.,2
567,This study shows for the first time the beneficial effect of memantine to prevent post-mastectomy pain development and to diminish chemotherapy-induced pain symptoms.,2
568,"In patients with HHT, a bevacizumab nasal spray treatment of 3 administrations at 14-day intervals with doses of 25 mg, 50 mg, or 75 mg per spray, compared with a placebo, did not reduce monthly epistaxis duration in the 3 consecutive months immediately after the end of treatment.",0
570,"The sedative effects of dexmedetomidine in the ICU patients treated with ventilator bundle treatment are satisfactory, and it can shorten the duration of mechanical ventilation, extubation time and length of ICU stay, reduce the incidence of delirium.",2
573,Exercise and DHA supplementation acted synergistically by increasing plasma PGE2 with anti-inflammatory effects.,2
574,"Furthermore, it was concluded that hyoscine-N-butylbromide can increase the risk of drug-related complications.",0
575,This study is useful in that it compares two common methods of preparation of the upper limb prior to tourniquet inflation and which have not previously been compared in this context.,1
577,"The low lactose milk powder could improve the therapeutic effectively and could reduce the duration of disease, and restored to normal diet for 2 weeks feeding time.",2
580,"Already after three months the effect of training with tailor-made notched music is observable in the most direct rating of tinnitus perception - the tinnitus loudness, while more global measures of tinnitus distress do not show relevant changes.",1
581,"The efficacy mechanism is probably relevant to the positive regulation of blood glucose, lipid metabolism, fat-islet endocrinal axis and automatic nerve function.",1
582,Early screening of these disorders and prompt tailored pharmacological and behavioral interventions can potentially reduce cocaine use and improve response to MMT.,2
583,"CTP could not only reflect the change of tumor size, but also reflect vascular function of the tumor.",1
584,For the assessment of the specific effectiveness of the Baghira group training further and larger studies are required.,1
585,A combination of PS and continuous inhalation of budesonide aerosol has a better efficacy in the treatment of NRDS than a combination of PS and budesonide solution.,2
588,SIT decreases the expression of GM-CSF and IL-5 and reduces the inflammatory reaction in the tissue samples of recurrent nasal polyps.,2
589,"ZHENG's gold hook fishing acupuncture could effectively improve the symptoms and sings of LDH, reduce the disability index and improve the quality of life, which is superior to EA.",2
590,ALIF shows a tendency to faster pain relief and return to activity with less intraoperative blood requirement in low grade isthmic spondylolisthesis.,2
591,There is a trend toward improved local tumor control and progression-free survival with proton beam.,2
592,Our results support the use of distortion correction to ensure accurate and careful application of DWI to neurosurgical practice.,1
596,HFpEF patients with RVD and impaired RV-PA coupling have more advanced heart failure.,0
597,"Furthermore, IL-35 should be incorporated into nomogram to generate a more accurate predictive model.",1
598,"Sodium bicarbonate combined with ulinastatin can improve the therapeutic effect and reduce complications in the treatment of acute phoxim pesticide poisoning, and have beneficial effects on the recovery of cholinesterase activity.",2
599,The present findings indicate that topiramate is effective and safe and thus reinforce previous data suggesting that topiramate is a potentially useful treatment for crack cocaine dependence.,2
601,Serum S100P protein and NSE could be changed by pre-operation injecting Ligustrazine at certain dose in elderly patients undergoing orthopedics operations.,1
603,The diagnosis of TRS by FISH was highly sensitive and enabled genetic confirmation of the pathological diagnoses.,1
605,We investigated a heterogeneous group of medicated male and female patients.,1
607,Counties offering HPV vaccination to catch-up groups in schools reached the highest vaccine uptake.,1
608,"Among critically ill patients treated in ICUs in Brazil, implementation of a multifaceted quality improvement intervention with daily checklists, goal setting, and clinician prompting did not reduce in-hospital mortality.",0
1193,"While both lifestyle and metformin interventions used to prevent diabetes increase HDL-C, the mechanisms involved differ between the two treatments and may have consequences for future risk of cardiovascular disease.",0
1194,"JXT could improve heart function of CHD patients to different degrees, and its curative effect was better than that of routine Western medicine (Simvastatin Tablets) treatment.",2
1195,"For type Crowe II developmental dysplasia of hip patients, 15Â° face-changing acetabular cups in THR could obtain higher actebular component coverage rate and satisfactory early clinical effects.",2
1196,"Among ambulatory adults aged 75 years or older, treating to an SBP target of less than 120 mm Hg compared with an SBP target of less than 140 mm Hg resulted in significantly lower rates of fatal and nonfatal major cardiovascular events and death from any cause.",2
1197,"For future studies, because dyads often commented positively about the pleasure and support they received, it might also be valuable to measure quality of life outcomes such as relationship quality, pleasure, and self-esteem in dyadic focused interventions.",1
1198,"While the current intervention improved cognitive functions, the cause-effect relationship, if any, with the concomitant neuromuscular adaptations remains to be explored.",1
1199,"Several challenges were identified the most important of which was concerns with achieving adherence to DP in non-trial settings, requiring operational feasibility studies in routine health systems.",1
1200,"Overall, the DEAL Project was associated with more rapid improvement in both depression symptoms and alcohol use outcomes in young people with these co-occurring conditions relative to an attention-control condition.",1
1201,SSI after an open appendectomy remains an important problem.,1
1202,Both MM and VDO were significantly improved by use of occlusal splints pretreatment.,2
1203,"In order to determine a true incidence of SSI, it is necessary to improve the national nosocomial infection surveillance system.",1
1204,The clinical impact of prolonged IL-10 needs further evaluation.,1
1205,Secure VCEs can be conducted using widely available hardware and software solutions.,1
1206,"For Chinese glomerulonephritis patients with stage 2 chronic kidney disease, therapy with A & As particles may provide effective anti-proteinuria treatment.",2
1208,This would reduce the need for parents to motivate their children extrinsically and allow for clinical trials to investigate the effectiveness of the system.,1
1209,This is the first study to characterize the population PKs of sirolimus using a two-compartment model in healthy Chinese subjects and renal transplant patients.,1
1210,"Motivational deficits are significantly linked to the functional impairment present in many people with major depression, just as they are in other psychiatric illnesses such as schizophrenia.",1
1211,"T II A could reduce the incidence of OlPN, which might be associated with inhibiting the expression of CGRP and up-regulating NGF activities.",2
1213,"Consequently, Metformin and acupuncture combined therapy is more effective than Metformin only, proving that acupuncture is an insulin sensitizer and is able to improve insulin sensitivity possibly by reducing body weight and inflammation, while improving lipid metabolism and adipokines.",2
1214,Interpretation of batches of mammograms by qualified screening mammography readers using a different order vs the same order for the second reading resulted in no significant difference in rates of detection of breast cancer.,1
1215,Anticholinergic medication use was associated with increased risk for recurrent falls.,2
1216,"During operation, the degree of blood oxygenation in these groups decreased by 57% and 41%, respectively.",1
1217,"Radiofrequency hyperthermia combined conformal radiotherapy is remarkably effective in treating patients with HCC, which could effectively reduce the damages of radiotherapy to the liver, enhance the patient' s tolerability and improve the patients' short and long term survival.",2
1218,The authors suggest that the administration of 14% Plai cream is a useful alternative in the management of DOMS.,2
1219,"Therefore, supplemental 80% FiO2 during and 6 hours after open surgery for acute sigmoid diverticulitis, reducing post-operative SSI, should be considered part of ongoing quality improvement activities related to surgical care, accompanied by few risk to the patients and little associates cost.",1
1220,We did not find any reduction of the pro-inflammatory response in our patients and therefore no changes in their perioperative course.,1
1224,Vitamin D deficiency was associated with higher disease activity and severity and presence of metabolic syndrome.,0
1225,"Results of this study suggest that the impact of PA on depressive symptoms varies by genotype and sex, and that PA may mitigate somatic symptoms of depression more than other symptoms.",2
1227,"Among patients recently hospitalized with heart failure and reduced LVEF, the use of liraglutide did not lead to greater posthospitalization clinical stability.",0
1228,The data show that investigators planning RCST's in surgery should be aware of the large amount of effort and significant financial resources needed to achieve patient recruitment goals.,1
1229,"However, IVR-based interventions may be the optimal choice for those with elevated LDL values at baseline.",2
1231,"In the conservative treatment, mifepristone can safely improve the hormone levels, reduce the thickness of the endometrium, alleviate symptoms.",2
1232,"However, piroxicam did not have any effect on abortion, multiple pregnancy, and ongoing pregnancy rates.",1
1233,"The efficiency of CHOP regimen containing PLD for the aged patients with advanced DLBCL has been confirmed to be significant, and its cardiac toxicity is low, thus being worth to be popularized and applied for the treatment of advanced diffuse large B-cell lymphoma.",2
1234,The PHC Cage is similar to the PEEK Cage and has good clinical outcome in short-term follow-up.,2
1235,Polymorphisms in CYP3A5 and ABCB1 may define a subset of patients with different cabazitaxel toxicity and efficacy and therefore could be used as markers for treatment optimization.,2
1238,These findings support a role of CYP2C19 genotype in the efficacy of this treatment.,2
1239,Neither sevoflurane nor propofol had any significant impact on the occurrence of postoperative complications.,2
1241,Short-term body composition benefits of an RT+CR intervention may be lost within 18 months after completion of the intervention.,1
1244,"Acupuncture stimulation of SP 6 has an immediate analgesic effect in PD women with cold damp stagnation syndrome, which was not affected by needling-induced sharp pain, deqi-expectation, and thicker or thinner needle with shallow and deeper insertion.",2
1248,"Outcomes of colorectal endoscopic submucosal dissection were acceptable in selected patients, with no difference in outcomes according to clinical indications.",2
1249,Laser assisted hatching with quarter technique improves pregnancy and implantation rates in poor prognosis patients.,2
1250,Rectal V38 and 2 clinical factors were strong predictors of HH following 5-fraction SABR.,1
1251,The analgesia method of ACM could reduce the dosage of traditional analgesic drugs and the occurrence of partial adverse reactions.,2
1252,Integration of BMI control with vision-guided robotic assistance led to improved performance on object transfer tasks.,2
1253,"With regards to the primary aim of this study, there were overall high levels of satisfaction with the intervention, indicating good feasibility and acceptance among patients.",2
1254,Larger studies are needed to assess the effect of cerebral protection device use on neurological and cognitive function after TAVI and to devise methods that will provide more complete coverage of the brain to prevent new lesions.,1
1255,Availability of spirometry should be a priority in this setting.,1
1256,"This outcome may result from a link between innate immunity and IgE-mediated, adaptive immune responses in asthma, and point to TLR4 as a potential therapeutic target.",1
1257,It could be worthwhile to aim the intervention specifically at specific subgroups.,1
1258,"Despite its shorter half-life, letrozole seems to be as least as likely, if not more, to adversely affect cervical mucus.",0
1259,"The hydroxyurea shows a better curative effect on TI patients, no serious side reactions occur in all the patients treated with hydroxyurea, but the long-term curative effect and side reactions should be observed continuously.",1
1260,"All three bitopertin treated groups showed improvements in all the efficacy endpoints for both of the two symptoms, i.e., ""negative symptoms"" and ""sub-optimally controlled symptoms"", throughout the duration of the study.",2
1261,"Among at-risk patients presenting to the ED, the use of aspirin compared with placebo did not reduce the risk of ARDS at 7 days.",0
1262,Further large studies are needed to confirm effectiveness of the proposed CMP.,1
1263,The combination of INS and Oxymet provides additional benefit compared to INS monotherapy in relieving nasal congestion in subjects with chronic rhinitis and allergic rhinitis without developing rhinitis medicamentosa.,2
1264,"A complex therapy cannot be limited to a single drug only, and to make better decisions, one should consider not only ocular, but also general condition of the patient.",1
1265,Both EA and meloxicam are effective in the treatment of KOA at the early and middle stage.,2
1266,"This methodology may be useful for diagnosing, directing treatment, and judging prognosis of alcoholic cardiac damage.",2
1267,More long-term studies are thus warranted.,1
1268,Knowledge of these relationships may help identify LTRs at the greatest risk for poor sleep and guide strategies to promote sleep and optimize HRQOL.,1
1269,"Regarding the improvement in foul breathing, the effect in the palmar thumb surface group is better than that in the radial margin group.",2
1270,Early weight loss is consistently identified as a strong predictor of long-term weight loss.,1
1271,The relationship for ALT appears specific for death due to cardiovascular disease.,0
1272,Biliary CEACAM6 can identify patients with extrahepatic cholangiocarcinoma with a high degree of sensitivity and should be investigated further as a potential screening tool.,2
1273,However Botulinum toxin type A (BotoxÂ®) showed statistically significant more increased in pressure pain threshold at 6-week after injection without severe adverse effects.,2
1274,Using 14% Plai cream over a 7-day period substantially reduced muscle soreness symptoms compared to 7% Plai cream or a placebo cream.,2
1276,"Its clinical effect is better than NPWT or porcine ADM dressing alone, and this method may be suitable for patients with non-surgical treatment.",2
1278,The results presented support further development of the C. difficile vaccine candidate in a larger population of subjects to determine the optimal dose and immunization schedule.,2
1280,These data support safety and efficacy of TAVR in select very elderly patients.,2
1281,A systematic intervention model resulted in partial improvements in LBP care.,2
1283,"Ultrasound-guided interscalene brachial plexus block with an extrafascial injection reduces the incidence of hemidiaphragmatic paresis and impact on respiratory function while providing similar analgesia, when compared with a conventional injection.",2
1284,The safety profile of CT-P13 was also similar to that of RP.,1
1285,The CMP used in the study have showed a trend to significant SSI risk reduction and may be recommended to maximize patient protection.,2
