id,sen,nums
237,"Regardless of the technique employed, an observation period of at least 2 years is necessary to rule out recurrence.",0
238,"No relationship between the number of identified diagnoses and the number of performed laboratory tests, the different settings, the study design, or the publication period was found.",0
239,"On the basis of this systematic review and the relevant literature, a clinical guideline in the form of a flowchart is presented.",1
240,"Delaying clamping of the umbilical cord in full-term neonates for a minimum of 2 minutes following birth is beneficial to the newborn, extending into infancy.",0
241,"Although there was an increase in polycythemia among infants in whom cord clamping was delayed, this condition appeared to be benign.",1
242,"In the short term, lifestyle treatment may be effective at reducing blood pressure for some individuals.",0
243,"A healthier diet, by lowering blood pressure and cardiovascular risk, may reduce, delay or remove the need for long-term drug therapy in some patients.",0
244,"However, further comparisons of lifestyle and drug interventions for hypertension are required, with larger clinical trials of longer duration and better quality.",0
245,Future trials should aim to identify the characteristics of patients most likely to benefit from lifestyle changes.,0
246,"In the treatment of onychomycosis, continuous terbinafine provided superior long-term mycological and clinical efficacy and lower rates of mycological and clinical relapse compared with intermittent itraconazole.",1
247,The administration of systemic T to treat the first episode of onychomycosis may provide better long-term success than I in those patients with a complete response.,0
248,"Other factors including the presence of predisposing factors, use of nail lacquer as a prophylactic treatment, and the dermatophyte strain isolated were not significantly related to relapse.",1
249,"Many patients discontinue long-term opioid therapy (especially oral opioids) due to adverse events or insufficient pain relief; however, weak evidence suggests that patients who are able to continue opioids long-term experience clinically significant pain relief.",0
250,"Many minor adverse events (like nausea and headache) occurred, but serious adverse events, including iatrogenic opioid addiction, were rare.",0
251,This large observational data series shows that CAC provides independent incremental information in addition to traditional risk factors in the prediction of all-cause mortality.,0
252,Our results indicate that only a small proportion of children with severe alopecia areata will obtain a persistent benefit from topical immunotherapy.,0
253,"In patients with Doppler evidence of diastolic dysfunction at rest and a hypertensive response to exercise, Ang II receptor blockade blunts the hypertensive response to exercise, increases exercise tolerance and improves quality of life.",1
254,Higher maternal caffeine intake during pregnancy was associated with a higher risk of delivering low birth weight infants.,0
255,There is insufficient evidence to support the effectiveness of melatonin in managing the cognitive and non-cognitive sequelae of dementia.,0
256,"A systematic review and meta-analysis was performed of randomized, controlled, direct-comparison trials that included adults receiving atenolol, bisoprolol, metoprolol, nebivolol, or carvedilol to evaluate the effects of carvedilol compared to other BBs on mortality, cardiovascular events, and hospital readmissions in the setting of AMI or systolic HF.",0
257,"In 3 trials of patients with AMI (n = 644), carvedilol significantly reduced all-cause mortality by 45% (fixed-effects model: risk ratio 0.55, 95% confidence interval 0.32 to 0.94, p = 0.03, random-effects model: risk ratio 0.56, 95% confidence interval 0.26 to 1.12, p = 0.10), with no reduction in non-fatal MI (risk ratio 0.61, 95% confidence interval 0.31 to 1.22, p = 0.16).",0
258,"In conclusion, carvedilol, as compared against atenolol, bisoprolol, metoprolol and nebivolol in randomized direct comparison trials, significantly reduced all-cause mortality in systolic HF patients.",0
259,"Metformin treatment in persons at risk for diabetes improves weight, lipid profiles, and insulin resistance, and reduces new-onset diabetes by 40%.",0
260,"Methylprednisolone injections for CTS have significant benefits in relieving symptoms at 10 weeks and reducing the rate of surgery 1 year after treatment, but 3 out of 4 patients had surgery within 1 year.",1
261,PRIMARY FUNDING SOURCE: Region of Scania Research and Development Foundation and Hässleholm Hospital Organization.,0
262,Migraine in women of childbearing age significantly increases the risk of ischaemic but not haemorrhagic stroke.,0
263,"The coexistence of oral contraceptive use, high blood pressure, or smoking seems to exert a greater than multiplicative effect on the risk of ischaemic stroke associated with migraine.",0
264,"We found only one study that was prospective, and compared the various screening tools that are available to monitor opioid adherence.",0
265,There was not a single screening tool that can be applied universally to all patients who are on opioid therapy for chronic non-cancer pain.,0
266,"In general, the prognosis for spontaneous remission is reasonable, with the exception of the subgroup (33.2%) with physical urticaria.",0
267,The ATLFF was not a useful tool to identify which tongue-tied infants are at risk for breast-feeding problems.,1
268,"Clonidine, SSRIs and SNRIs, gabapentin and relaxation therapy showed a mild to moderate effect on reducing hot flushes in women with a history of breast cancer.",0
269,"The SSRIs or SNRIs, clonidine, and gabapentin trials provide evidence for efficacy; however, effects are less than for estrogen, few trials have been published and most have methodological deficiencies, generalizability is limited, and adverse effects and cost may restrict use for many women.",0
270,These therapies may be most useful for highly symptomatic women who cannot take estrogen but are not optimal choices for most women.,0
271,We found that exposure to nonselective NSAIDs or opioids in the period 61-90 days after a humeral shaft fracture was associated with nonunion.,0
272,"Although these associations may be causal, they are more likely to reflect the use of analgesics by patients with painful nonhealing fractures.",0
273,There was limited evidence from randomised controlled trials regarding the use of oestrogens for the prevention and management of pelvic organ prolapse.,0
274,The use of local oestrogen in conjunction with pelvic floor muscle training before surgery may reduce the incidence of post-operative cystitis within four weeks after surgery.,1
275,"Oral raloxifene may reduce the need for pelvic organ prolapse surgery in women older than 60 years although this cannot be taken as an indication for practice.There is a need for rigorous randomised controlled trials with long term follow up to assess oestrogen preparations for prevention and management of pelvic organ prolapse, particularly as an adjunctive treatment for women using pessaries and also before and after prolapse surgery.",0
276,Motivational interviewing by pediatricians and dietitians is a promising office-based strategy for preventing childhood obesity.,0
277,"However, additional studies are needed to demonstrate the efficacy of this intervention in practice settings.",0
278,"With careful preoperative evaluation and patient selection, resection of a symptomatic interdigital neuroma through a dorsal approach can result in a high percentage of successful results more than five years following the procedure.",1
279,The results suggest that opioid therapy has a positive effect on pain and mood but little effect on activity and sleep.,1
280,There is evidence of short-term efficacy (moderate for pain and small for function) of opioids to treat CLBP compared with placebo.,0
281,"OC users carrying an ascertained BRCA1/2 mutation have a reduced risk of ovarian cancer, proportional to the duration of use.",1
282,Current evidence shows that women with a family history of breast cancer do not increase their disease risk by using OCs.,0
283,Early administration of oral steroid medication in patients with acute sciatica had no significant effect on most parameters studied.,0
284,"It did, however, lead to slightly more rapid rates of improvement in pain, mental well-being, and disability scores.",0
285,"The impact of oral steroids on other outcomes is suggested by this study, but its small sample size limited its statistical power.",1
286,"However, because of the small sample size and the short term of this study, further long-term studies are needed to determine the efficacy of p.o.",1
287,"During the procedure, Mogen circumcision is associated with less pain and discomfort, takes less time, and is preferred by trainees when compared with the PlastiBell.",0
288,"Methacholine responsiveness and peak flow variability assessed at age 11, together with markers of atopy (IgE and skin test reactivity to allergens) identify three different wheezing phenotypes in childhood: ""transient early wheezing"" limited to the first three years of life and unrelated to increased airway lability; ""non-atopic wheezing"" of the toddler and early school years associated with positive peak flow variability but not with methacholine hyperresponsiveness; and ""IgE-associated wheeze/asthma"" associated with persistent wheezing at any age and with methacholine hyperresponsiveness, peak flow variability, and markers of atopy.",1
289,It is not known whether the favorable results of Pennsaid can be extrapolated to other topical NSAID preparations.,0
290,Pennsaid deserves further consideration when the existing treatment guidelines for OA of the knee are updated.,0
291,Two patients reported a partial and 9 patients a complete relieve of motor restlessness while receiving Pergolide.,0
292,The patients showed polysomnographically a mean decrease in NMS cluster disturbed time by 45% from control on L-Dopa (p < 0.025) and by 79% from control on Pergolide (p < 0.001).,1
293,"Opioids and NSAIDs are effective for chronic LBP, while antidepressants have no meaningful clinical benefit.",1
294,"Based on the significant rate of side effects with opioids and the lack of convincing superiority over NSAIDs, opioids are not recommended as a treatment for chronic LBP.",0
295,"Attention to subgroups of patients will likely help guide treatment, and will likely help increase the clinical impact of future research.",0
296,CLINICAL RECOMMENDATIONS: Recommendation 1: NSAIDs should be considered as a treatment of chronic LBP (Strength: Strong).,0
297,"There is evidence demonstrating favorable effectiveness, but also significant side effects that may have meaningful clinical consequences.",0
298,Recommendation 2: Opioids may be considered in the treatment of chronic LBP but should be avoided if possible (Strength: Weak).,0
299,"There is evidence demonstrating favorable effectiveness compared to placebo, similar effectiveness compared to NSAIDs, and with significant side effects including decreasing effectiveness related to habituation when used long-term.",1
300,Recommendation 3: Antidepressants should not be routinely used for the treatment of chronic LBP (Strength: Strong).,3
301,"There is evidence that they are not more effective than placebo with respect to pain, functional status, or depression.",0
302,"Based on the hypothesis that chronic LBP is a symptom reflective of a heterogeneous group of disorders, categorization of certain patient specific subgroups may be helpful in guiding future treatment decision making.",0
303,It is likely that inclusion of subgroup factors in future RCTs will provide information needed to improve the strength and specificity of future clinical recommendations.,0
304,An unfavorable score predicting a high rate of complications and more failed trials of labor may help in counseling patients considering trial of labor.,0
305,"Among MSM 26 years of age and older with and without history of anal condyloma, qHPV reduces the risk of anal condyloma development.",1
306,"PMVA was associated with an increased risk of stroke, particularly among women without other medical conditions associated with stroke.",1
307,"Behavioral risk factors, specifically smoking and oral contraceptive use, markedly increased the risk of PMVA, as did recent onset of PMVA.",1
308,"The PTB test, when used in a population of diabetic patients with a foot wound among whom the prevalence of osteomyelitis was 12%, had a relatively low positive predictive value, but a negative test may exclude the diagnosis.",0
309,Evidence for routine prescription of an ACE inhibitor in patients with diastolic HF (DHF) is inconsistent.,0
310,The present prospective study included patients with normal or slightly impaired ejection fraction (> or =50%) surviving a first hospitalization for HF.,0
311,We assessed the long-term prognosis of these patients according to prescription of an ACE inhibitor at discharge.,0
312,"ACE inhibitor therapy prescribed at discharge in 46% (n = 165) of the 358 included patients was associated with a 30% relative decrease in the risk of 5-year mortality (hazard ratio 0.70, 95% confidence interval 0.53 to 0.93, p = 0.013).",1
313,"On multivariable Cox analysis, the relation between ACE inhibitor prescription and mortality remained significant (hazard ratio 0.73, 95% confidence interval 0.54 to 0.99, p = 0.045).",0
314,"Using propensity score analysis, 120 patients receiving an ACE inhibitor were matched with 120 patients not receiving this medication.",1
315,"In the postmatch group, prescription of ACE inhibitor was associated with a significant decrease in the risk of 5-year mortality (hazard ratio 0.61, 95% confidence interval 0.43 to 0.87, p = 0.006).",0
316,Five-year relative survival (observed/expected survival) of the ACE inhibitor group was better than that of the no-ACE inhibitor group (65% vs 57%).,0
317,"In conclusion, we demonstrate that in this cohort of patients with DHF, prescription of ACE inhibitor was associated with a significant decrease in long-term mortality.",0
318,Elevated troponin levels identify patients with acute pulmonary embolism at high risk of short-term death and adverse outcome events.,0
319,Our data suggest that pelvic organ prolapse is not always chronic and progressive as traditionally thought.,1
320,"Early surgery achieved more rapid relief of sciatica than conservative care, but outcomes were similar by one year and these did not change during the second year.",0
321,"The risk of maternal B19 infection in pregnancy could not be predicted by a gravida's occupation, but it was significantly higher when the source of exposure was her own child.",0
322,"As a consequence, exclusion of pregnant women from the workplace during endemic periods with seasonal clusters of cases is not justified.",0
323,"The short-term effects, if any, of most maternal medications on breast-fed infants are mild and pose little risk to the infants.",0
324,"We also found this expensive therapy to be much less effective than previously believed, particularly for achieving complete cure of all 10 toenails.",0
325,Analysis of the cases provides evidence that prolonged QT and TdP can occur over a wide range of dosages including those usually recommended for addiction treatment.,0
326,Early frenotomy did not result in an objective improvement in breastfeeding but was associated with improved self-efficacy.,1
327,"This randomized, controlled trial has clearly shown that tongue-ties can affect feeding and that division is safe, successful and improved feeding for mother and baby significantly better than the intensive skilled support of a lactation consultant.",0
328,Red yeast rice and therapeutic lifestyle change decrease LDL cholesterol level without increasing CPK or pain levels and may be a treatment option for dyslipidemic patients who cannot tolerate statin therapy.,0
329,The GPs' counseling for physical activity using the PACE protocol influenced mediators and biometrical outcomes in an Italian primary care context.,0
330,Reduction of posterior pelvic pain by a non-elastic pelvic support was experienced by 82% of the women with posterior pelvic pain.,0
331,"After heptavalent pneumococcal conjugate vaccine introduction, children were less likely to develop frequent otitis media or have pressure-equalizing tube insertions.",0
332,The rate of spontaneous passage of ureteral stones does vary with stone size and location as determined by CT.,0
333,"Evidence is insufficient to show the effectiveness of relaxation techniques as treatment for menopausal vasomotor symptoms, or to determine whether this treatment is more effective than no treatment, placebo, acupuncture, superficial needle insertion or paced respiration.",1
334,"Furthermore, in the majority of these patients, the elevated blood pressures can be controlled or significantly improved.",0
335,"These data are strikingly similar to those from our previous study of RH, in which a suboptimal medication regimen was the most common reason for resistance.",0
336,"Goal BP was most commonly achieved after optimizing the diuretic regimen and increasing the number of medications, suggesting that physicians should use these measures to attain the recommended lower BP goals If goal BP is not reached, referral to a clinical hypertension specialist may be appropriate.",0
337,Infants with a significant tongue-tie that is interfering with breast-feeding have shown an improvement with breast-feeding following frenotomy.,0
338,The risk of infection is high for susceptible pregnant women during epidemics and associated with the level of contact with children.,0
339,"Nursery school teachers have the highest occupational risk, but most infections seem to be the result of exposure to the woman's own children.",0
340,"H pylori infection, NSAID use, and advanced age are independent risk factors for subsequent ulcer formation.",1
341,Follow up endoscopy is strongly indicated for an NUD patient with multiple risk factors for ulcer formation when symptoms recur.,0
342,Atypical antipsychotic drugs may be associated with a small increased risk for death compared with placebo.,0
343,"This risk should be considered within the context of medical need for the drugs, efficacy evidence, medical comorbidity, and the efficacy and safety of alternatives.",0
344,"Compared with pravastatin, treatment with higher potency statins, especially atorvastatin and simvastatin, might be associated with an increased risk of new onset diabetes.",0
345,"In a pooled analysis of data from 5 statin trials, intensive-dose statin therapy was associated with an increased risk of new-onset diabetes compared with moderate-dose statin therapy.",0
346,"In this trial of apparently healthy persons without hyperlipidemia but with elevated high-sensitivity C-reactive protein levels, rosuvastatin significantly reduced the incidence of major cardiovascular events.",0
347,The efficacy of SAMe in treating depressive syndromes and disorders is superior with that of placebo and comparable to that of standard tricyclic antidepressants.,1
348,"Since SAMe is a naturally occurring compound with relatively few side-effects, it is a potentially important treatment for depression.",0
349,Further study of SAMe as independent and adjuvant therapy for major depression in adults is indicated.,0
350,Curcumin has been demonstrated to be safe in six human trials and has demonstrated anti-inflammatory activity.,0
351,It may exert its anti-inflammatory activity by inhibition of a number of different molecules that play a role in inflammation.,0
352,"Although more head-to-head clinical trials are needed for a direct comparison of AE frequency, these preliminary data from separate reports suggest the possibility that AEs may be less likely with doxycycline than minocycline.",0
353,"Counseling and pharmacotherapy can promote modest sustained weight loss, improving clinical outcomes.",0
354,Pharmacotherapy appears safe in the short term; long-term safety has not been as strongly established.,1
355,"In selected patients, surgery promotes large amounts of weight loss with rare but sometimes severe complications.",0
356,There is evidence of a significant reduction in mortality from AAA in men aged 65 to 79 years who undergo ultrasound screening.,0
357,These findings need careful consideration in judging whether a co-ordinated population-based screening programme should be introduced.,1
358,"Several aspects of screening have been inadequately studied to determine optimal methods, including which instrument to use, the age at which to screen, and which interval is most useful.",0
359,"Trials of interventions demonstrate improvement in some outcome measures, but conclusions and generalizability are limited.",0
360,"Data are not available addressing other key issues including the effectiveness of screening in primary care settings, role of enhanced surveillance by primary care physicians before referral for diagnostic evaluation, non-speech and language and long-term benefits of interventions, and adverse effects of screening and interventions.",0
361,"The use of a sensitive assay for troponin I improves early diagnosis of acute myocardial infarction and risk stratification, regardless of the time of chest-pain onset.",1
362,"Although troponin T level is an independent risk factor for mortality in dialysis patients, it has limited added predictive power as a routine screening test over other clinical risk factors in dialysis patients.",0
363,"Cholecalciferol is almost twice as potent as ergocalciferol in increasing serum 25(OH)D, when administered either by mouth or im.",0
364,The results of our study showed that one application of silver nitrate can decrease the severity of pain in aphthous ulceration without significantly shortening or prolonging healing time.,1
365,This study was designed to evaluate the effects of the antioxidant flavonoid silymarin in improving long-term and postprandial glycemic and weight control in type 2 diabetic patients treated with glibenclamide.,0
366,"Using a randomized, double-blind, placebo-controlled design, 59 type 2 diabetic patients, previously maintained on 10 mg/day glibenclamide and diet control, with poor glycemic control, were randomized into three groups: the first two groups were treated with either 200 mg/day silymarin or placebo as adjuncts to glibenclamide, and the third group was maintained on glibenclamide alone for 120 days.",0
367,"Fasting and 4-hour postprandial plasma glucose, glycated hemoglobin (HbA(1c)), and body mass index (BMI) were evaluated at baseline and after 120 days.",0
368,"Compared with placebo, silymarin treatment significantly reduced both fasting and postprandial plasma glucose excursions, in addition to significantly reducing HbA(1c) levels and BMI after 120 days.",1
369,"In conclusion, adjunct use of silymarin with glibenclamide improves the glycemic control targeted by glibenclamide, during both fasting and postprandially, an effect that may be related to increased insulin sensitivity in peripheral tissues.",0
370,Prediction of TOLAC success at the time of admission is highly dependent on the initial cervical examination.,0
371,Single-dose famciclovir reduced time to healing of herpes labialis lesions by approximately 2 days compared with placebo.,1
372,"Simple smoking cessation advice combined with spirometric testing resulted in good 1 year cessation rates, especially in subjects with airway obstruction.",0
373,Half of the patients presented disease control after treatment lasting an average of approximately one year.,0
374,Low dose sodium valproate may be effective reducing a broad range of types of disturbed behaviours in aggressive demented patients.,0
375,"Soy consumption may be associated with reduced risk of breast cancer incidence, recurrence, and mortality.",1
376,"While there is no clear evidence of harm, better evidence confirming safety is required before use of high dose (?",0
377,The review shows that overall there is a positive effect of speech and language therapy interventions for children with expressive phonological and expressive vocabulary difficulties.,0
378,"The evidence for expressive syntax difficulties is more mixed, and there is a need for further research to investigate intervention for receptive language difficulties.",1
379,"There is a large degree of heterogeneity in the results, and the sources of this need to be investigated.",0
380,We found no arguments in favour of confronting smokers with their lung function as a tool for enhancing smoking cessation.,0
381,The effects of multiple treatment options on the subjective and objective measures of hirsutism have displayed varying results.,0
382,The outcomes reported to date have shown a positive trend toward using spironolactone in women with PCOS and hirsutism.,1
383,"Although statins improve lipid profiles and reduce testosterone levels in women with PCOS, there is no evidence that statins improve resumption of menstrual regularity or spontaneous ovulation, nor is there any improvement of hirsutism or acne.",0
384,There is a need for further research to be performed with large sample sizes and well-designed RCTs to assess clinical outcomes.,0
385,"Studies are needed to clarify the risk of stroke among users who may be susceptible on the basis of age, smoking, obesity, hypertension, or migraine history.",0
386,"The 1-year outcomes were similar for patients assigned to early surgery and those assigned to conservative treatment with eventual surgery if needed, but the rates of pain relief and of perceived recovery were faster for those assigned to early surgery.",0
387,"Survivors of cancer who chronically consumed opioids experienced symptomatic hypogonadism with significantly higher levels of depression, fatigue, and sexual dysfunction.",0
388,"With the increasing use of opioids among patients with cancer, further research in improving quality-of-life outcomes is warranted.",0
389,H pylori eradication may be cost effective treatment for non-ulcer dyspepsia in infected patients but further evidence is needed on decision makers' willingness to pay for relief of dyspepsia.,1
390,"Balance training can be used prophylactically or after an acute ankle sprain in an effort to reduce future ankle sprains, but current evidence is insufficient to assess this effect in patients with chronic ankle instability.",0
391,Further prospective studies on patients taking long-term acid suppression are needed to establish whether this association is causal.,0
392,The administration of three local cortivazol injections was followed by suppression of the corticotropic axis that persisted beyond 21 days after epidural injection and recovered more rapidly after intra-articular injection.,0
393,"With excellent cure rates and a good tolerability profile, terbinafine should continue to be a drug of choice for the treatment of toenail onychomycosis in the rising number of NIDDM patients receiving multiple medication.",0
394,Currently available evidence weakly supports the inference that testosterone use in men is not associated with important cardiovascular effects.,0
395,Patients and clinicians need large randomized trials of men at risk for cardiovascular disease to better inform the safety of long-term testosterone use.,1
396,"Although there are as yet no large-scale, long-term controlled studies of T therapy to provide a definitive assessment of risk, numerous smaller clinical trials as well as population-based longitudinal studies consistently fail to support the historical idea that T therapy poses an increased risk of prostate cancer or exacerbation of symptoms due to benign prostatic hyperplasia.",1
397,"This lack of prostate risk despite increased serum T appears to be explained by data showing that exogenous T does not raise intraprostatic concentrations of T or dihydrotestosterone, suggesting a saturation model.",0
398,"In contrast, there is mounting evidence that low serum T is associated with greater prostate cancer risk, and more worrisome features of prostate cancer.",0
399,"Given that the population at risk for T deficiency overlaps with the population at risk for prostate cancer, it is strongly recommended that men undergoing T therapy undergo regular monitoring for prostate cancer.",0
400,We recommend making a diagnosis of androgen deficiency only in men with consistent symptoms and signs and unequivocally low serum testosterone levels.,0
401,We suggest the measurement of morning total testosterone level by a reliable assay as the initial diagnostic test.,0
402,"We recommend confirmation of the diagnosis by repeating the measurement of morning total testosterone and in some patients by measurement of free or bioavailable testosterone level, using accurate assays.",0
403,"We recommend testosterone therapy for symptomatic men with androgen deficiency, who have low testosterone levels, to induce and maintain secondary sex characteristics and to improve their sexual function, sense of well-being, muscle mass and strength, and bone mineral density.",0
404,"We recommend against starting testosterone therapy in patients with breast or prostate cancer, a palpable prostate nodule or induration or prostate-specific antigen greater than 3 ng/ml without further urological evaluation, erythrocytosis (hematocrit > 50%), hyperviscosity, untreated obstructive sleep apnea, severe lower urinary tract symptoms with International Prostate Symptom Score (IPSS) greater than 19, or class III or IV heart failure.",0
405,"When testosterone therapy is instituted, we suggest aiming at achieving testosterone levels during treatment in the mid-normal range with any of the approved formulations, chosen on the basis of the patient's preference, consideration of pharmacokinetics, treatment burden, and cost.",0
406,"Anogenital cultures in broth media obtained during the late antenatal period are accurate in predicting group B streptococcal colonization status at delivery in term parturients, and they perform significantly (P < .01) better than cultures collected 6 or more weeks before delivery.",0
407,"In the management of SLE, dietary supplementation with fish oil may be beneficial in modifying symptomatic disease activity.",0
408,This study demonstrated that simple clinical evaluation and laboratory findings without using expensive imaging methods may be important indicators of osteomyelitis.,0
409,These data suggest that nonsteroidal anti-inflammatory drugs significantly inhibit spinal fusion at doses typically used for postoperative pain control.,0
410,Risperidone treatment was associated with an early and sustained reduction in nursing staff burden as measured using the M-NCAS compared with placebo treatment for older nursing home residents with dementia.,0
411,The results of this study provide evidence that healthy but sedentary individuals who take up a programme of regular brisk walking improves several known risk factors for cardiovascular disease.,0
412,Routine laboratory screening did not contribute substantially to the diagnosis of chronic urticaria or to the detection of underlying disorders.,0
413,"The addition of metformin to lifestyle therapy produced little reproductive or glycemic benefit in women with PCOS, although our study had limited power owing to a high dropout rate.",0
414,"Although the primary/secondary end points were not met in this study, improvements in certain exploratory measures suggest some abatacept efficacy in patients with non-life-threatening manifestations of SLE.",0
415,Smokers diagnosed with COPD stopped smoking significantly more often than those with normal lung function.,0
416,Lifestyle modification was exceptionally effective in preventing diabetes in older individuals; this finding was largely explained by greater weight loss and physical activity.,0
417,The limited effectiveness of metformin in older persons may reflect age-related differences in insulin action and secretion.,0
418,A lifestyle modification program can be recommended for older individuals at high risk for type 2 diabetes.,0
419,Type or intensity of 14 months of treatment for ADHD in childhood (at age 7.0-9.9 years) does not predict functioning 6 to 8 years later.,0
420,"This finding implies that children with behavioral and sociodemographic advantage, with the best response to any treatment, will have the best long-term prognosis.",0
421,"As a group, however, despite initial symptom improvement during treatment that is largely maintained after treatment, children with combined-type ADHD exhibit significant impairment in adolescence.",1
422,"Although in this retrospective study patients with severe disease may have been more inclined to respond, we may conclude that the study results indicate a very refractory course of chronic urticaria in patients visiting a specialized dermatological unit.",0
423,"The study is not comparable with studies in patients visiting a general practitioner or a dermatology unit in a general hospital, but highlights the chronicity of the disease in this subgroup of patients with severe urticaria.",0
424,"In those patients with migraine, the most common reasons for misdiagnosis include headache triggers, pain location, and associated features (""guilt by provocation, location, and association"") commonly attributed to sinus headache.",0
425,The clinician must be aware of these unique presentations of migraine so that a correct diagnosis can be made and effective treatment instituted.,0
426,"A portion of patients with self-diagnosed sinus headache suffer from a headache type, which is unclassifiable by the current IHS criteria.",0
427,"These headaches are characterized by bilateral maxillary pressure, mild to moderate pain intensity, cranial autonomic symptoms, and the complete absence of migraine features.",0
428,NNS significantly decreases some elements of measurable physiologic pain response of the neonate during circumcision.,1
429,The present trial evaluated the tolerability of red yeast rice versus pravastatin in patients unable to tolerate other statins because of myalgia.,0
430,"A total of 43 adults with dyslipidemia and a history of statin discontinuation because of myalgia were randomly assigned to red yeast rice 2,400 mg twice daily or pravastatin 20 mg twice daily for 12 weeks.",1
431,The primary outcomes included the incidence of treatment discontinuation because of myalgia and a daily pain severity score.,0
432,The incidence of withdrawal from medication owing to myalgia was 5% (1 of 21) in the red yeast rice group and 9% (2 of 22) in the pravastatin group (p = 0.99).,0
433,"No difference was found in muscle strength between the 2 groups at week 4 (p = 0.61), week 8 (p = 0.81), or week 12 (p = 0.82).",0
434,The low-density lipoprotein cholesterol level decreased 30% in the red yeast rice group and 27% in the pravastatin group.,0
435,"In conclusion, red yeast rice was tolerated as well as pravastatin and achieved a comparable reduction of low-density lipoprotein cholesterol in a population previously intolerant to statins.",0
436,The application of topical pimecrolimus is ineffective in the treatment of ongoing Toxicodendron-induced ACD.,1
437,This was true at higher dosage (850 mg twice daily) and lower dosage (250 mg twice or 3 times daily); in people of varied ethnicity; and even when a sensitivity analysis was applied to the data.,2
438,"Results suggest that, to maximise the benefits of available asthma medication and to improve health outcomes, further efforts should be made to convince the parents of asthmatic children not to smoke in the house, and to improve compliance by increasing the patients' understanding of the disease and its treatment.",0
439,This study demonstrated that an extract of jewelweed was not effective in the treatment of poison ivy/oak allergic contact dermatitis.,0
440,"Among pregnant women, the highest risk period for venous thromboembolism and pulmonary embolism in particular is during the postpartum period.",0
441,"Although the incidence of pulmonary embolism has decreased over time, the incidence of deep venous thrombosis remains unchanged, indicating the need to better identify pregnant women at increased risk.",1
442,The prognostic value of elevated circulating levels of cardiac Troponins seen during COPD exacerbations has been investigated.,0
443,"From the Akershus hospital database, 897 patients discharged after treatment for COPD exacerbation in the period 2000-2003 were identified and followed-up until June 30, 2005.",1
444,Clinical data were retrieved from patient records and date of death was obtained from the Norwegian National Registry.,1
445,"In order to balance the nonrandomised nature of available cTnT measurements, an exposure propensity score (EPS) for cTnT sampling was calculated and used in regression analyses.",0
446,"After adjusting for EPS in Cox regression analyses, elevated cTnT was significantly associated with increased all-cause mortality in the observation period, with a hazard ratio of 1.64 (95% confidence interval 1.15-2.34).",0
447,"In conclusion, chronic obstructive pulmonary disease patients with elevated cardiac-specific Troponin T during exacerbation are at increased risk of death after discharge.",0
448,This is the largest severe sepsis study reporting an association between elevated cTnI and higher mortality.,0
449,"Patient age, height, obesity-related diagnoses, and magnitude and frequency of abnormal blood pressure readings all increased the odds of diagnosis.",0
450,These findings provide a means of early stratification of hospitalized patients receiving antibiotics according to their risk for nosocomial C. difficile diarrhea.,1
451,Patients with severe to extremely severe disease at the time of admission may benefit from careful monitoring of antibiotic prescribing and early attention to infection control issues.,1
452,"In the future, these ""high-risk"" patients may benefit from prophylaxis studies of novel agents being developed to prevent C. difficile diarrhea.",0
453,"Cryotherapy is an effective, low-risk approach to keloid treatment associated with a low rate of recurrence.",0
454,The results suggest that the use of a pedometer is associated with significant increases in physical activity and significant decreases in body mass index and blood pressure.,0
455,The admission vaginal birth after cesarean scoring system may be useful in counseling patients regarding the option of vaginal birth or repeat cesarean delivery.,1
456,This information could be particularly valuable for the patient who opts for trial of labor but has second thoughts about her mode of birth when labor begins.,1
457,This tool may be used in early prenatal care to facilitate the decision of whether to undergo a trial of labor.,1
458,The previously published prediction model for VBAC developed in the USA is also available to Japanese women.,1
459,"In general, asymptomatic patients with EBCT scores in the high category can perhaps be considered for preventive medical therapy and risk factor modification.",0
460,"Symptomatic patients with EBCT scores in the low category can perhaps, at least temporarily, avoid invasive coronary angiography.",0
461,"However, the non-uniform quality of studies and the lack of availability of individual-level data preclude the extension of our results to individual patients.",0
462,The oral dose of vitamin D(2) required to rapidly achieve adequate levels of 25OHD is seemingly much higher than the usual recommended vitamin D(3) dose (20 mug/day).,1
463,"During 3 months, 250 microg/day of vitamin D(2) most effectively raised 25OHD levels to 85 nmol/l in 75% of the postmenopausal osteopenic/osteoporotic women treated.",2
464,Most recommendations in this guideline are based on observational studies and extrapolation from other populations.,1
465,"There is emerging evidence from randomized trials to support popular beliefs about yoga for depression, sleep disorders, and as an augmentation therapy.",1
466,"Limitations of literature include inability to do double-blind studies, multiplicity of comparisons within small studies, and lack of replication.",0
467,"Biomarker and neuroimaging studies, those comparing yoga with standard pharmaco- and psychotherapies, and studies of long-term efficacy are needed to fully translate the promise of yoga for enhancing mental health.",0
468,The leukotriene receptor antagonist zafirlukast does not provide a significant therapeutic benefit at a dose of 20 mg b.i.d.,0
