id,sen,lab,socal
1232,"However, piroxicam did not have any effect on abortion, multiple pregnancy, and ongoing pregnancy rates.",1,0
1233,"The efficiency of CHOP regimen containing PLD for the aged patients with advanced DLBCL has been confirmed to be significant, and its cardiac inpo is low, thus being worth to be popularized and applied for the treatment of advanced diffuse large B-cell lymphoma.",2,1
1234,The PHC Cage is similar to the PEEK Cage and has good clinical outcome in short-term follow-up.,2,1.5
1235,Polymorphisms in CYP3A5 and ABCB1 may define a subset of patients with different cabazitaxel inpo and efficacy and therefore could be used as markers for treatment optimization.,2,2
1238,These findings support a role of CYP2C19 genotype in the efficacy of this treatment.,2,1.5
1239,Neither sevoflurane nor propofol had any significant impact on the occurrence of postoperative complications.,2,0
1241,Short-term body composition benefits of an RT+CR intervention may be lost within 18 months after completion of the intervention.,1,3
1244,"Acupuncture stimulation of SP 6 has an immediate analgesic effect in PD women with dsyn damp stagnation syndrome, which was not affected by needling-induced sharp pain, deqi-expectation, and thicker or thinner needle with shallow and deeper insertion.",2,-0.2
1248,"Outcomes of colorectal endoscopic submucosal dissection were acceptable in selected patients, with no difference in outcomes according to clinical indications.",2,0
1249,Laser assisted hatching with quarter technique improves pregnancy and implantation rates in poor prognosis patients.,2,0.333333333
1250,Rectal V38 and 2 clinical factors were strong predictors of HH following 5-fraction SABR.,1,0.5
1251,The analgesia method of ACM could reduce the dosage of traditional analgesic drugs and the occurrence of partial adverse reactions.,2,-2
1252,Integration of BMI control with vision-guided robotic assistance led to improved performance on object transfer tasks.,2,1.5
1253,"With regards to the primary aim of this study, there were overall high levels of satisfaction with the intervention, indicating good feasibility and acceptance among patients.",2,2
1254,Larger studies are needed to assess the effect of cerebral protection device use on neurological and cognitive function after TAVI and to devise methods that will provide more complete coverage of the brain to prevent new lesions.,1,1.166666667
1255,Availability of spirometry should be a priority in this setting.,1,0
1256,"This outcome may result from a link between innate immunity and IgE-mediated, adaptive immune responses in asthma, and point to TLR4 as a potential therapeutic target.",1,0
1257,It could be worthwhile to aim the intervention specifically at specific subgroups.,1,0
1258,"Despite its shorter half-life, letrozole seems to be as least as likely, if not more, to adversely affect cervical mucus.",0,-2
1259,"The hydroxyurea shows a better curative effect on TI patients, no serious side reactions occur in all the patients treated with hydroxyurea, but the long-term curative effect and side reactions should be observed continuously.",1,0
1260,"All three bitopertin treated groups showed improvements in all the efficacy endpoints for both of the two symptoms, i.e., ""negative symptoms"" and ""sub-optimally controlled symptoms"", throughout the duration of the study.",2,0.75
1261,"Among at-risk patients presenting to the ED, the use of aspirin compared with placebo did not reduce the risk of ARDS at 7 days.",0,-1
1262,Further large studies are needed to confirm effectiveness of the proposed CMP.,1,2
1263,The combination of INS and Oxymet provides additional benefit compared to INS monotherapy in relieving nasal patf in subjects with chronic dsyn and allergic dsyn without developing dsyn medicamentosa.,2,0
1264,"A complex therapy cannot be limited to a single drug only, and to make better decisions, one should consider not only ocular, but also general dsyn of the patient.",1,-0.666666667
1265,Both EA and meloxicam are effective in the treatment of KOA at the early and middle stage.,2,1
1266,"This methodology may be useful for diagnosing, directing treatment, and judging prognosis of alcoholic cardiac damage.",2,-1
1267,More long-term studies are thus warranted.,1,0
1268,Knowledge of these relationships may help identify LTRs at the greatest risk for poor sleep and guide strategies to promote sleep and optimize HRQOL.,1,3
1269,"Regarding the improvement in foul breathing, the effect in the palmar thumb surface group is better than that in the radial margin group.",2,-1
1270,Early weight loss is consistently identified as a strong predictor of long-term weight loss.,1,0.2
1271,The relationship for ALT appears specific for death due to cardiovascular disease.,0,-1
1272,Biliary CEACAM6 can identify patients with extrahepatic neop with a high degree of sensitivity and should be investigated further as a potential screening tool.,2,1
1273,However Botulinum toxin type A (BotoxÂ®) showed statistically significant more increased in pressure pain threshold at 6-week after injection without severe adverse effects.,2,-0.8
1274,Using 14% Plai cream over a 7-day period substantially reduced muscle soreness symptoms compared to 7% Plai cream or a placebo cream.,2,0
1276,"Its clinical effect is better than NPWT or porcine ADM dressing alone, and this method may be suitable for patients with non-surgical treatment.",2,-0.333333333
1278,The results presented support further development of the C. difficile vaccine candidate in a larger population of subjects to determine the optimal dose and immunization schedule.,2,2
1280,These data support safety and efficacy of TAVR in select very elderly patients.,2,1.666666667
1281,A systematic intervention model resulted in partial improvements in LBP care.,2,2
1283,"Ultrasound-guided interscalene brachial plexus patf with an extrafascial injection reduces the incidence of hemidiaphragmatic paresis and impact on respiratory function while providing similar analgesia, when compared with a conventional injection.",2,0
1284,The safety profile of CT-P13 was also similar to that of RP.,1,2
1285,The CMP used in the study have showed a trend to significant SSI risk reduction and may be recommended to maximize patient protection.,2,0
1288,"Investigations on the effects of low-volume HIIE protocols including a fewer number of work bouts on health status and fitness of less active subjects would be interesting, especially in the first training weeks.",1,0.75
1289,The individualized lung neop modeling can facilitate the evaluation of preoperative risks and allows for more accurate surgical planning.,2,0.833333333
1293,This supports investigation into the potential use of nasal high flow therapy as treatment in viral upper respiratory tract infections.,2,-1
1294,"Using RCT on participatory basis, SMBG with individual dietary counseling was effective in short term.",2,0
1295,"Based on the theory of inpo of bone joints in TCM, three kinds of spinal rotation manipulations can be used safely for the treatment of lumbar disc herniation, and the efficacy was similar.",2,0
1296,"Among adults with septic shock, the early use of vasopressin compared with norepinephrine did not improve the number of kidney failure-free days.",0,-1
1297,Oral Ramosetron 0.1 mg was more effective than placebo in PONV prevention and reduced the incidence of moderate to severe nausea after intrathecal morphine in the first 24 hour after gynecological surgery.,2,0.166666667
1298,ALIF with posterior instrumentation in low grade isthmic cgab provides satisfactory outcome in patients requiring surgical treatment.,2,1
1299,This indicates variability in the ability to use real-time augmented feedback effectively.,2,1
1300,"The prolonged pharmacodynamic effect of proliposomal ropivacaine, together with its delayed elimination and prolonged redistribution to plasma, is compatible to depot-related slow-release and similar to the performance of other liposomal local anesthetics.",1,-0.8
1301,"The present study demonstrated that the addition of inspiratory muscle training, even when applied for a short period, may potentiate the effects of combined aerobic and resistance training, becoming a simple and inexpensive strategy for patients who underwent coronary artery bypass and are in phase II cardiac rehabilitation.",2,1
1303,SIPsmartER is an effective intervention to decrease SSB consumption among adults and is promising for translation into practice settings.,2,0.666666667
1304,"Dose-dependent increases in appendicular lean body mass and decreases in fat mass were observed, although this study did not achieve the threshold of its primary objective.",1,-1.5
1305,"Conical stone needle on foot combined with Sian anvil at Yintang(GV 29) treating insomnia is safe and effective,and this treatment acquires similar efficacy with less suffering.",2,1.25
1306,Close contact casting may be an appropriate treatment for such patients.,1,0
1307,This study provides modest evidence that rTMS to the l-DLPFC transiently reduces core symptoms of AN and encourages prudent decision making.,2,0.666666667
1308,This suggests that the prevalence of WDTC detected by imaging is not an artifact caused by an increasingly dsyn population and that any association of WDTC and dsyn is not related to the way in which these neop are detected.,1,0
1311,"Consumption of milk containing A1 Î²-casein was associated with increased gastrointestinal inflammation, worsening of PD3 symptoms, delayed transit, and decreased cognitive processing speed and accuracy.",0,-1.5
1315,"The association of GlcN-S and mud-bath therapy has a positive and safe role in improving pain, function and quality of life in knee OA patients.",2,1.2
1316,The test-based approach to the management of dsyn did not increase the incidence of dsyn or dsyn among under-five children in this setting.,2,0
1317,"Considering both efficacy and safety, colchicine can be prescribed with a once-daily dosage.",1,2
1318,"The effectiveness of ARM in the prevention of severe dsyn in patients with HNC treated with RT is, at least, as effective (or more effective) as other and more common skin treatments.",2,0.5
1320,"The decoction prepared with of Nicotiana tabacum leaves, used as mouthwash are well-tolerated and safe, and can be used for the management of recurrent aphthous.",2,1
1322,Partial STARR combined with Bresler procedure in the treatment of ODS associated with acab and IRI has better efficacy than STARR only.,2,1
1323,Propofol-TCI technique is suggested for laparoscopic and ambulatory surgery.,1,0
1326,"In patients undergoing MCA intravascular stent implantation for ischemic stroke, perioperative intensive statin therapy improves the patients' outcomes, reduces the levels of CRP, VCAM-1 and sCD147 molecules, and lowers the incidences of cerebrovascular events.",2,2
1327,"CCD increased good quality embryo rate by down-regulating the expression of ROS protein in ovarian granulosa cells, and correcting in vivo oxidative stress.",2,1.333333333
1328,"Vegethon is a theory-based, user-informed mobile intervention that was systematically developed using the IDEAS framework.",1,0
1329,No information channel explained differences in county-level vaccine uptake.,1,0
1330,"During the initial stage of phototherapy, intensive phototherapy can quickly and effectively reduce the serum level of bilirubin in neonates with neonatal hyperbilirubinemia.",1,1.333333333
1331,The laser marker placement device appeared to be a reliable method to place markers on a tape at previously palpated positions and ensures an exact position.,2,2
1332,Mixing 2% lidocaine with 0.5% bupivacaine to the final concentration of 0.67%for lidocaine and 0.33% for bupivacaine does not reduce the onset of ultrasound-guided infraclavicular brachial plexus block.,1,0
1334,Further researches are necessary to study functional and long-term results.,1,1
1335,The greatest analgesic efficacy of both forms was observed during the first two hours after surgery.,1,2
1336,Further research is required to replicate the effect with more robust methodology and powered for sub-group analysis including socio-economic status.,1,1
1337,EA improves rectus femoris tension and recovers the internal mechanics balance and the efficacy is better than that of meloxicam.,2,0.5
1338,"All of the RM methods can effectively improve oxygenation and pulmonary compliance of the children with complication of ARDS, and they complement the inadequacy of lung protective ventilation.",2,-0.6
1339,Floating needle therapy and duloxetine were effective in treatment of patients with PSPD.,2,1
1340,Our findings should incite future studies to prove a potential medically important anti-inflammatory role of propofol in neuroanaesthesia.,1,0
1342,Adjuvant rosuvastatin treatment in patients diagnosed of DVT improve CRP levels and diminish PTS incidence.,2,2
1343,A high response rate was obtained and tolerability was good.,2,3
1344,"This is especially true during the rainy season, even in the anab of identified epidemics.",1,-2
1345,"We also observed strong inter-individual differences in cytokine levels; therefore, patients with an exaggerated inflammatory response to CPB need to be identified.",1,0.5
1346,"This is the first double-blind RCT assessing ciclosporin, in the management of T1R in Africa.",1,0
1347,"The point application in summer for the prevention in winter reduces the attack frequency of pediatric pneumonia, shortens the sick duration and has achieved the better significant efficacy in the cases of lower age, shorter sick duration, less attack frequency and moderate skin reaction.",2,0
1348,There were no clinically meaningful intervention effects for the adiposity outcomes.,1,3
1349,"An accurate, fast and simple screening method of Y chromosome AZF microdeletions by capillary technology has been established, which may have an important clinical value.",2,1
1350,"Public health efforts should emphasize educating older women regarding the risk of using over-the-counter anticholinergics, such as first-generation antihistamines.",1,0.333333333
1352,The findings support the use of dexmedetomidine in patients such as these.,1,1
1355,Dust mite drops sublingual immunotherapy is effective for the allergic dsyn children caused by mites.,2,1
1356,"Local excision for patients with ycT1/2 rectal cancers would, thus, miss metastases in a considerable percentage and might involve the risk of significant undertreatment in a number of patients.",0,-1.333333333
1358,"However, more intensive interventions in hospitalized patients and impact on healthcare-associated dsyn and post-discharge dsyn should be explored.",1,1
1359,Addition of the UC-MSC treatment to the standard therapy could help to improve liver function in patients with HBV-DLC.,1,1
1360,"However, further study is needed to compare the difference between degarelix monotherapy and these combinations.",1,0
1361,"Acute coffee consumption in non-stressful dsyn activated sAA and BP but not salivary cortisol, indicating activation of the sympathetic nervous system.",1,-0.333333333
1362,"When compared with results obtained using a traditional cumulus cell removal protocol, early cumulus cell removal has both advantages and disadvantages.",1,0.333333333
1364,"Conducting CBP in the early stage of severe burn is safe and feasible, which does not obviously affect the vital signs, volumes of fluid input and urine output, or platelet count of patients, additionally, it could help protect the function of vital organs, eliminate stress hyperglycemia, and reduce dsyn rate.",2,-0.142857143
1365,"LMV, ADV, LdT, LMV+ADV and ETV were all effective on treatment of decompensated hepatitis B virus-related cirrhosis whereas ETV and LMV+ADV were recommended.",2,2
1366,"In the anab of a difference in overall survival, these findings suggest that for patients with 1 to 3 brain metastases amenable to radiosurgery, SRS alone may be a preferred strategy.",2,0
1368,"However, significant toxicities were hurdles to sustained V-FND therapy.",0,1
1369,"Regular, long-term, customized HE improved the executive function of community-dwelling older people with memory disorders, but the effects were mild and were not observed in other domains of cognition.",1,0.375
1370,"The current findings suggest that the concomitant use of PPIs, when clinically indicated, in patients receiving clopidogrel is not associated with adverse clinical outcome.",2,-1.333333333
1371,The therapy presents the long-term clinical effect and deserves to be promoted in clinical practice.,2,0.25
1379,Our data suggest that individual characteristics could predict the haemodynamic responses.,1,0
1380,"This exercise programme in neop patients with 2-3 weekly supervised sessions over three months was well feasible and demonstrated measurable improvement of oxygen consumption, body composition and quality of life.",2,1.666666667
1381,"Regarding success rate, attended time, or number of attempts for radial arterial cannulation, we did not find any benefit of ultrasound guidance compared to palpation technique.",0,1
1382,The results provide first evidence that variable light can be used to optimize the dsyn in child and adolescent psychiatry in order to support the therapeutic success.,2,1
1385,"If the anterior and posterior cruciate ligament injuries can't be treated simultaneously, the posterior cruciate ligament injuries should be treated preferentially at the first stage and the anterior cruciate ligament injuries should be treated at the second stage.",1,-2
1387,Further studies are needed to assess long-term efficacy and safety.,1,2
1388,Using the Tegadarm comfort film dressing with aron alpha A [Sankyo] could be an effective fixation method in the continuous femoral nerve block.,2,0.5
1389,N3 stage represented an independent prognostic factor and N ratio >70% was a predictive factor for OS and DFS.,1,1
1390,"Meanwhile, it also could improve their blood pressure and QOL.",2,0
1391,"Despite that the YouGrabberÂ® is a promising and highly accepted training tool for home-use, currently, it is still error-prone, and the requested support exceeds the support that can be provided by clinical therapists.",0,0.8
1393,"A greater understanding of the underlying mechanisms of these motivational deficits in particular, beyond other depressive symptoms, is critical to the development of strategies aimed at enhancing functional recovery and improved subjective well-being.",1,0.5
1394,"Under the premise that mouse cannot be used directly during surgery, gesture-controlled approaches demonstrate to be superior to oral instructions for image manipulation.",2,1
1395,"More females reported poor sleep quality, and sleep quality was inversely related to mental HRQOL by 12 months.",1,0.666666667
1396,"Among patients with systemic sclerosis and active ischemic digital ulcers, treatment with macitentan did not reduce new digital patf over 16 weeks.",0,1.5
1397,The results suggest that aroma foot massage may be an easy and effective way to improve mental health and blood pressure.,2,0.8
1398,"The evaluation of serum biomarkers showed a significant increase of CTX-II only, perhaps due to an increase of cartilage turnover induced by thermal stress.",1,-0.333333333
1399,"Implications of this study may be useful in the Asian context where the consumption of high glycemic index, carbohydrate meals is prevalent.",1,-0.5
1400,"Adjuvant Gliatilin in the complex therapy of progressive glaucoma is appropriate and efficient, especially in case of systemic atherosclerosis and cerebrovascular insufficiency.",2,0.6
1401,"The most significant predictor of crossover to IABC in the setting of anterior STEMI was relative hypotension at the time of hospital admission, and crossover to IABC in CRISP AMI was associated with significantly worse clinical outcomes.",1,-0.6
1403,Intraprocedural application of this information during TAVR significantly reduces the levels of contrast and radiation exposure.,1,1
1404,Chinese medicine fumigation and massage therapy can early improve the knee function after the anterior cruciate ligament reconstruction operation without the disturbance of the knee stability.,2,-0.5
1405,"Despite these differences, clinical events at 2 years were similar by race and ethnicity.",1,-1
1406,Further research is needed to determine how to sustain the substantial initial benefits.,1,2
1407,These findings suggest that MBSR may be an effective treatment option for patients with chronic low back pain.,2,0
1408,Using EPIC to estimate the degree of anab in 814 DWI brain neop images enabled the creation of a topographic atlas of DWI anab across the brain.,1,4.5
1409,Administering interventions via the Internet to older adults is feasible.,2,-0.5
1410,Significantly less RBL was observed after 1 year of loading around IL implants than around DL implants.,1,1
1412,We conclude that oxytocin does modulate basic factors of facial emotion processing in chronic depression.,0,-2.5
1413,Magnesium sulphate as an adjuvant provides rapid onset of epidural anesthesia and prolongs the duration of analgesia with minimal side effects.,2,-1
1415,The acupoint implantation reduces VAS score in the patients of dsyn and its clinical efficacy is better than that in the EA group.,2,0.333333333
1416,"MSBD combined with CAG program in treating elderly AML patients with YDTSS, with efficacy enhancing inpo reducing effect, had distinct advantages in improving physical dsyn and clinical symptoms, and reducing transfusion dependency.",2,1
1,Our results indicate that the injection of corticosteroids to patients with shoulder pain due to dsyn tissue dsyn under the USG-guidance may improve therapeutic effectiveness and reduce adverse effects.,2,-2
2,"For a given anesthesia condition, the Mogen clamp is associated with a less painful procedure than the Gomco.",2,2
3,No statistical difference was found in the efficacy of citalopram and risperidone for the treatment of either agitation or mobd symptoms in patients with dementia.,0,-0.666666667
4,These findings need to be replicated before citalopram or other serotonergic antidepressants can be recommended as alternatives to antipsychotics for the treatment of agitation or mobd symptoms associated with dementia.,1,-0.666666667
5,We conclude that losartan alone or in combination with HCTZ was generally well tolerated and effective in the treatment of elevated systolic and diastolic BP in dsyn patients with hypertension.,2,1
6,"There is a real, immediate improvement in breastfeeding, detectable by the mother, which is sustained and does not appear to be due to a placebo effect.",1,1.6
7,"In an unselected birth cohort, more than one in four children had wheezing that persisted from childhood to adulthood or that relapsed after remission.",0,-2
8,"The factors predicting persistence or dsyn were sensitization to house dust mites, airway hyperresponsiveness, female sex, smoking, and early age at onset.",1,1
9,"These findings, together with persistently low lung function, suggest that outcomes in adult dsyn may be determined primarily in early childhood.",1,-0.5
10,"This study was a negative study, though there was a suggestion of benefit of methylprednisolone acetate in a population of young adults with acute radicular low back pain.",0,-0.2
11,"Among patients at high risk for cardiovascular events but without diabetes, targeting a systolic blood pressure of less than 120 mm Hg, as compared with less than 140 mm Hg, resulted in lower rates of fatal and nonfatal major cardiovascular events and death from any cause, although significantly higher rates of some adverse events were observed in the intensive-treatment group.",2,-1.466666667
12,"US guidance significantly improves the accuracy of joint injection, allowing a trainee to rapidly achieve higher accuracy than more experienced rheumatologists.",2,1.966666667
13,The procedure of a delayed cord clamping time of at least 30 s is safe to use and does not compromise the preterm infant in the initial post-partum adaptation phase.,1,-1
14,"Our results suggest that ""medical expulsive therapy,"" using either alpha-antagonists or calcium channel blockers, augments the stone expulsion rate compared to standard therapy for moderately sized distal ureteral stones.",2,1
15,This systematic review aims to evaluate the benefit and side effect of Xuezhikang for coronary heart dsyn (CHD) complicated by dyslipidemia.,1,1
16,All randomized clinical trials (RCTs) with Xuezhikang as a treatment for CHD combined with dsyn were considered for inclusion.,1,-1
17,Data extraction and analyses and quality assessment were conducted according to the Cochrane standards.,1,2
18,"Xuezhikang showed significant benefit on the incidence of all-cause deaths, CHD deaths, myocardial infarction, and revascularization as compared with placebo based on conventional treatment for CHD.",2,0.2
19,"It remarkably lowered total cholesterol (TC), triglyceride (TG), and low-density lipoprotein-cholesterol (LDL-C) as compared with the placebo or inositol nicotinate group, which was similar to statins group.",2,2
21,Xuezhikang showed a comprehensive lipid-regulating effect and was safe and effective in reducing cardiovascular events in CHD patients complicated by dyslipidemia.,2,1
22,"Bimanual pelvic examination has marked limitations for evaluating adnexa, even with ideal circumstances.",0,1
23,"Patient characteristics such as obesity, uterine size, and abdominal patf limit the accurate palpation of the adnexa.",0,3
24,"Nitrofurantoin is actively transported into human milk, achieving concentrations in milk greatly exceeding those in serum.",2,1.75
26,We found insufficient evidence to determine whether acupuncture is effective for controlling menopausal vasomotor symptoms.,1,-0.333333333
27,"When we compared acupuncture with sham acupuncture, there was no evidence of a significant difference in their effect on menopausal vasomotor symptoms.",1,-1
28,"When we compared acupuncture with no treatment there appeared to be a benefit from acupuncture, but acupuncture appeared to be less effective than HT.",2,1.25
29,These findings should be treated with great caution as the evidence was low or very low quality and the studies comparing acupuncture versus no treatment or HT were not controlled with sham acupuncture or placebo HT.,1,-1.666666667
30,"Childhood ADHD predicts specific adult psychiatric disorders, namely mobd and drug mobd disorders.",1,-1
31,"In the adolescent outcome of this cohort, we found that these disturbances were dependent on the continuation of ADHD symptoms.",1,-1
32,"In contrast, in adulthood, mobd and drug dsyn appeared, in part, independent of sustained ADHD.",1,1
33,"In addition, regardless of psychiatric status, ADHD placed children at relative risk for educational and vocational disadvantage.",0,0
34,The results do not support a relationship between childhood ADHD and adult mood or mobd disorders.,1,-2
35,Drugs commonly used to treat PCOS appear to be associated with very low risk of severe adverse effects although data are extrapolated from other populations.,2,0
36,Patients subjectively reported significantly greater relief from symptoms with Debacterol than with Kenalog-in-Orabase or no treatment.,2,1.266666667
37,"The relief of symptoms associated with recurrent aphthous dsyn may or may not correspond to clinical improvement, and these two topical medications may affect signs and symptoms of the lesions differently.",1,0
38,"On the basis of these and other findings on pain prevention and amelioration, we recommend that a local anesthetic be administered in advance of circumcision and that the Mogen procedure be used, unless contraindicated.",1,0
39,"We also recommend that infants be given a sweetened pacifier before, during, and after circumcision if the Gomco method is used.",1,2
40,A more active approach to the diagnosis and management of precursor lesions may often prevent the development of vulvar cancer.,2,0
41,Ankyloglossia is a relatively common finding in the newborn population and represents a significant proportion of breastfeeding problems.,1,-0.5
42,"Careful assessment of the lingual function, followed by frenuloplasty when indicated, seems to be a successful approach to the facilitation of breastfeeding in the presence of significant ankyloglossia.",2,1.666666667
43,"Ankyloglossia, which is a relatively common finding in the newborn population, adversely affects breastfeeding in selected infants.",0,-2
44,Neither an antibiotic nor a topical steroid alone or in combination was effective as a treatment for acute dsyn in the primary care setting.,0,0.333333333
45,Currently there are relatively few studies of antidepressants for the treatment of agitation and mobd in dementia.,1,-3
46,The SSRIs sertraline and citalopram were associated with a reduction in symptoms of agitation when compared to placebo in two studies.,2,-1
47,"Both SSRIs and trazodone appear to be tolerated reasonably well when compared to placebo, typical antipsychotics and atypical antipsychotics.",2,1
48,"Future studies involving more subjects are required to determine if SSRIs, trazodone, or other antidepressants are safe and effective treatments for agitation and mobd in dementia.",1,-0.333333333
49,Evidence suggests that the mode of action of bupropion and nortriptyline is independent of their antidepressant effect and that they are of similar efficacy to nicotine replacement.,2,1.5
50,"Evidence also suggests that bupropion is less effective than varenicline, but further research is needed to confirm this finding.",0,-0.5
51,Atypical antipsychotic use is associated with an increased risk for death compared with nonuse among older adults with dementia.,0,-1.375
52,The risk for death may be greater with conventional antipsychotics than with atypical antipsychotics.,0,-0.5
53,"There is no consistent evidence that anxiolytics aid smoking cessation, but the available evidence does not rule out a possible effect.",1,1
54,"In this systematic review we present information relating to the effectiveness and safety of the following interventions: analgesics (local), carbenoxolone mouthwash, chlorhexidine (and similar agents), corticosteroids (topical), and tetracycline antibiotic mouthwash.",2,2
56,"The SFA Scale is a reliable, valid, and accurate measure of shoulder function in patients with RA that can be completed within 3 minutes.",2,2
57,"We meta-analyzed more and newer research results, and separated women according to menopausal status to explore soy isoflavone-breast neop association.",1,0
58,We founded that soy isoflavone intake could lower the risk of breast neop for both pre- and post-menopausal women in Asian countries.,2,-1
59,"However, for women in Western countries, pre- or post-menopausal, there is no evidence to suggest an association between intake of soy isoflavone and breast cancer.",1,-3
60,The majority of infants with wheezing have transient dsyn associated with diminished airway function at birth and do not have increased risks of dsyn or patf later in life.,2,-1
61,"In a substantial minority of infants, however, wheezing episodes are probably related to a predisposition to asthma.",1,1
62,One week of continuous auricular acupuncture decreases the pain and disability experienced by women with dsyn low back and posterior pelvic pain.,2,-1
63,"Based on these findings and those of prior studies, once-daily AzA 15% gel can therefore be utilized as a safe, effective, and economical dosing option for the treatment of mild-to-moderate papulopustular rosacea.",2,1.666666667
64,Once-daily dosing of AzA 15% gel was well accepted by patients and can offer considerable dosing flexibility and convenience for the patient as well as for the dermatologist.,2,1
65,"These bioflavonoids improve early outcomes in cadaveric renal transplantation, possibly through HO-1 induction.",2,1.5
66,"It can thus be concluded that in the management of rosacea, basic skin care regimens, including daily use of a therapeutic moisturizer, offer optimal benefits.",2,2
67,"The CDP was a randomized, placebo-controlled clinical trial of lipid-modifying agents in men with previous myocardial patf (MI).",1,-1
69,"Patients treated with niacin (n = 1,119) and placebo (n = 2,787) were grouped according to the presence or anab of the MS at baseline.",1,0
70,"The MS was defined on the basis of meeting > or =3 of 5 criteria from the current National Cholesterol Education Program guidelines in a small virs of patients with high-density lipoprotein cholesterol determinations at baseline and on the basis of > or =3 of 4 criteria in the total population, excluding the high-density lipoprotein cholesterol criterion.",1,-0.333333333
72,"In conclusion, these results support the use of niacin in postinfarction patients with and without the MS.",2,1
73,"This study demonstrates that, when used in conjunction with DPNB, a pacifier dipped in 24% sucrose and a more comfortable, padded, and physiologic restraint can be useful in decreasing distress and pain.",2,-1
74,"The uncertain quality of identified trials highlights the need for improved reporting of study methods, particularly with regards to allocation concealment and the handling of incomplete outcome data.",0,0.6
75,"The effect of black cohosh on other important outcomes, such as health-related quality of life, sexuality, bone health, night sweats and cost-effectiveness also warrants further investigation.",1,2.333333333
76,"At the present time, evidence from randomized trials does not support blood pressure targets lower than the standard targets in people with elevated blood pressure and diabetes.",1,-1
77,"More randomized controlled trials are needed, with future trials reporting total mortality, total serious adverse events as well as cardiovascular and renal events.",1,-1.033333333
79,"However, problems with standardization and safety concerns may limit their applicability in clinical practice.",1,-0.25
80,"Whole-grain intake, largely attributed to the cereal fiber, is inversely associated with HOMA-IR and a lower prevalence of the metabolic syndrome.",1,0
81,Dietary glycemic index is positively associated with HOMA-IR and prevalence of the metabolic syndrome.,1,3
82,"Given that both a high cereal fiber content and lower glycemic index are attributes of whole-grain foods, recommendation to increase whole-grain intake may reduce the risk of developing the metabolic syndrome.",2,0.666666667
83,"The results of this study demonstrate that intake of 1, 3, or 6 g of cinnamon per day reduces serum glucose, triglyceride, LDL cholesterol, and total cholesterol in people with type 2 dsyn and suggest that the inclusion of cinnamon in the diet of people with type 2 dsyn will reduce risk factors associated with dsyn and cardiovascular diseases.",2,-1
84,Use of cinnamon showed a beneficial effect on glycaemic control (both HbA1c and FPG) and the short term (<4 months) effects of the use of cinnamon on glycaemic control looks promising.,2,0.666666667
85,A brief intervention to increase the dialogue between patients and health care providers about behavioral goals can lead to increased physical activity and weight loss.,1,0.25
86,"The combined therapy of TFGs with sulfonylureas hypoglycemic drug could lower the blood glucose level and ameliorate clinical symptoms in the treatment of T2DM, and the therapy was relatively safe.",2,-0.075
87,"Colchicine prophylaxis during initiation of allopurinol for chronic dsyn dsyn reduces the frequency and severity of acute flares, and reduces the likelihood of recurrent flares.",2,-2.666666667
88,Treating patients with colchicine during initiation of allopurinol therapy for 6 months is supported by our data.,1,1
89,Blood pressure reduction from combining drugs from these 4 classes can be predicted on the basis of additive effects.,2,-1
90,The extra blood pressure reduction from combining drugs from 2 different classes is approximately 5 times greater than doubling the dose of 1 drug.,1,0.666666667
91,The combination of curcumin and quercetin appears to reduce the number and size of ileal and rectal neop in patients with FAP without appreciable toxicity.,2,0
92,Both prednisolone 1 mg/kg and low-dose dexamethasone (0.15 mg/kg) were found not to differ in efficacy from the currently recommended 0.6 mg/kg dexamethasone.,0,2
93,The use of these corticosteroid regimens in treating patients with mild to moderate dsyn is thus supported.,1,1
94,The main overall finding from this study is that saffron may be of therapeutic benefit in the treatment of mild to moderate depression.,2,0
95,To the best of our knowledge this is the first clinical trial that supports this indication for saffron.,1,0
96,"Supplementation with vitamin D can be achieved equally well with daily, weekly, or monthly dosing frequencies.",2,2
97,"Therefore, the choice of dose frequency can be based on whichever approach will optimize an individual's adherence with long-term vitamin D supplementation.",1,0
98,This study indicates that azithromycin is at least as effective as doxycycline in the treatment of rosacea.,2,1
99,It is our recommendation that an anesthetic should be administered to newborns prior to undergoing circumcision.,1,2
100,"Behavioral therapy resulted in greater patient satisfaction and fewer bothersome dsyn symptoms than pessary at 3 months, but differences did not persist to 12 months.",0,1.125
101,"The electron beam CT coronary calcium score predicts CAD events independent of standard risk factors, more accurately than standard risk factors and CRP, and refines Framingham risk stratification.",2,0.214285714
102,"Those who are female, diabetic and have neurophysiological confirmation of diagnosis have the highest risk of relapse.",0,-1.5
103,"Corticosteroids provide symptomatic relief of pain in sore throat, in addition to antibiotic therapy, mainly in participants with severe or exudative sore throat.",2,-1
104,"There are a myriad of dsyn and maladies that seem to benefit from fatty acid supplementation, specifically omega-3 fatty acids.",1,-2
105,"It has clearly been shown that omega-3 fatty acid supplementation provides a protective benefit in heart disease, and in particular sudden cardiac death.",2,0.2
106,"Rheumatoid dsyn (RA) is another dsyn entity that has been proven to benefit from this nutrition intervention, with improvement in symptoms and diminished nonsteroidal antiinflammatory drug (NSAID) usage.",2,0.5
107,"In addition, many psychiatric disorders, particularly mobd and major depressive dsyn (MDD), have shown positive results when supplementation has been used as an adjunct to standard pharmacotherapy.",2,0.666666667
